,Start Date,End Date,Approving,Disapproving,Unsure/NoData,President,Approve_rolling,Disapprove_rolling,Unsure_rolling,Approve_change,Disapprove_change,Unsure_change
0,1/24/1989,1/26/1989,51,6,43,George H.W. Bush,59.5,14.5,26.0,14.285714285714285,58.620689655172406,-65.38461538461539
1,2/28/1989,3/2/1989,63,13,24,George H.W. Bush,57.0,16.0,27.0,-10.526315789473683,18.75,11.11111111111111
2,3/10/1989,3/13/1989,56,16,28,George H.W. Bush,57.0,19.0,24.0,1.7543859649122806,15.789473684210526,-16.666666666666664
3,4/10/1989,4/16/1989,58,16,26,George H.W. Bush,59.5,20.0,20.5,2.5210084033613445,20.0,-26.82926829268293
4,5/4/1989,5/7/1989,56,22,22,George H.W. Bush,66.5,16.0,17.5,15.789473684210526,-37.5,-25.71428571428571
5,5/15/1989,5/18/1989,63,18,19,George H.W. Bush,68.0,16.5,15.5,7.352941176470589,-9.090909090909092,-22.58064516129032
6,6/8/1989,6/11/1989,70,14,16,George H.W. Bush,67.5,19.0,13.5,-3.7037037037037033,26.31578947368421,-18.51851851851852
7,7/6/1989,7/9/1989,66,19,15,George H.W. Bush,69.5,18.0,12.5,5.0359712230215825,-5.555555555555555,-20.0
8,8/10/1989,8/13/1989,69,19,12,George H.W. Bush,69.0,18.5,12.5,0.0,-2.7027027027027026,4.0
9,9/7/1989,9/10/1989,70,17,13,George H.W. Bush,69.0,18.5,12.5,-1.4492753623188406,8.108108108108109,-4.0
10,10/5/1989,10/8/1989,68,20,12,George H.W. Bush,70.5,18.5,11.0,3.546099290780142,-8.108108108108109,-9.090909090909092
11,11/2/1989,11/5/1989,70,17,13,George H.W. Bush,75.5,15.5,9.0,7.28476821192053,-9.67741935483871,-44.44444444444444
12,12/7/1989,12/10/1989,71,20,9,George H.W. Bush,76.5,13.5,10.0,7.18954248366013,-48.148148148148145,10.0
13,1/4/1990,1/7/1990,80,11,9,George H.W. Bush,73.0,16.0,11.0,-9.58904109589041,31.25,18.181818181818183
14,2/8/1990,2/11/1990,73,16,11,George H.W. Bush,70.5,17.0,12.5,-3.546099290780142,5.88235294117647,12.0
15,2/15/1990,2/18/1990,73,16,11,George H.W. Bush,71.0,16.5,12.5,-2.8169014084507045,3.0303030303030303,12.0
16,3/8/1990,3/11/1990,68,18,14,George H.W. Bush,71.0,15.5,13.5,4.225352112676056,-16.129032258064516,-3.7037037037037033
17,3/15/1990,3/18/1990,74,15,11,George H.W. Bush,67.5,16.5,16.0,-9.62962962962963,9.090909090909092,31.25
18,4/5/1990,4/8/1990,68,16,16,George H.W. Bush,66.0,18.5,15.5,-3.0303030303030303,13.513513513513514,-3.225806451612903
19,4/19/1990,4/22/1990,67,17,16,George H.W. Bush,66.0,19.0,15.0,-1.5151515151515151,10.526315789473683,-6.666666666666667
20,5/17/1990,5/20/1990,65,20,15,George H.W. Bush,68.0,17.5,14.5,4.411764705882353,-14.285714285714285,-3.4482758620689653
21,6/7/1990,6/10/1990,67,18,15,George H.W. Bush,66.0,20.5,13.5,-1.5151515151515151,12.195121951219512,-11.11111111111111
22,6/15/1990,6/17/1990,69,17,14,George H.W. Bush,61.5,24.5,14.0,-12.195121951219512,30.612244897959183,0.0
23,7/6/1990,7/8/1990,63,24,13,George H.W. Bush,67.0,20.5,12.5,5.970149253731343,-17.073170731707318,-4.0
24,7/19/1990,7/22/1990,60,25,15,George H.W. Bush,74.5,16.0,9.5,19.463087248322147,-56.25,-57.89473684210527
25,8/9/1990,8/12/1990,74,16,10,George H.W. Bush,75.5,16.0,8.5,1.9867549668874174,0.0,-17.647058823529413
26,8/16/1990,8/19/1990,75,16,9,George H.W. Bush,75.0,16.5,8.5,0.0,3.0303030303030303,-5.88235294117647
27,8/23/1990,8/26/1990,76,16,8,George H.W. Bush,75.0,16.5,8.5,-1.3333333333333335,3.0303030303030303,5.88235294117647
28,8/30/1990,9/2/1990,74,17,9,George H.W. Bush,74.5,16.5,9.0,0.6711409395973155,-3.0303030303030303,0.0
29,9/10/1990,9/11/1990,76,16,8,George H.W. Bush,70.0,18.5,11.5,-8.571428571428571,13.513513513513514,30.434782608695656
30,9/14/1990,9/16/1990,73,17,10,George H.W. Bush,66.5,22.5,11.0,-9.774436090225564,24.444444444444443,9.090909090909092
31,9/27/1990,9/30/1990,67,20,13,George H.W. Bush,61.0,29.0,10.0,-9.836065573770492,31.03448275862069,-30.0
32,10/3/1990,10/4/1990,66,25,9,George H.W. Bush,54.5,35.0,10.5,-21.100917431192663,28.57142857142857,14.285714285714285
