,Start Date,End Date,Approving,Disapproving,Unsure/NoData,Approve_rolling,Disapprove_rolling,Unsure_rolling,Approve_change,Disapprove_change,Unsure_change
0,2/1/2001,2/4/2001,57,25,18,59.5,23.0,17.5,4.201680672268908,-8.695652173913043,-2.857142857142857
1,2/9/2001,2/11/2001,57,25,18,62.5,21.5,16.0,8.799999999999999,-16.27906976744186,-12.5
2,2/19/2001,2/21/2001,62,21,17,60.5,25.5,14.0,-2.479338842975207,17.647058823529413,-21.428571428571427
3,3/5/2001,3/7/2001,63,22,15,55.5,29.0,15.5,-13.513513513513514,24.137931034482758,3.225806451612903
4,3/9/2001,3/11/2001,58,29,13,56.0,29.5,14.5,-3.571428571428571,1.694915254237288,10.344827586206897
5,3/26/2001,3/28/2001,53,29,18,60.5,29.5,10.0,12.396694214876034,1.694915254237288,-80.0
6,4/6/2001,4/8/2001,59,30,11,57.5,31.0,11.5,-2.608695652173913,3.225806451612903,4.3478260869565215
7,4/20/2001,4/22/2001,62,29,9,54.5,32.0,13.5,-13.761467889908257,9.375,33.33333333333333
8,5/7/2001,5/9/2001,53,33,14,56.0,33.5,10.5,5.357142857142857,1.4925373134328357,-33.33333333333333
9,5/10/2001,5/14/2001,56,31,13,55.5,35.5,9.0,-0.9009009009009009,12.676056338028168,-44.44444444444444
10,5/18/2001,5/20/2001,56,36,8,55.0,34.0,11.0,-1.8181818181818181,-5.88235294117647,27.27272727272727
11,6/8/2001,6/10/2001,55,35,10,53.5,33.5,13.0,-2.803738317757009,-4.477611940298507,23.076923076923077
12,6/11/2001,6/17/2001,55,33,12,54.5,34.5,11.0,-0.9174311926605505,4.3478260869565215,-9.090909090909092
13,6/28/2001,7/1/2001,52,34,14,56.5,34.0,9.5,7.964601769911504,0.0,-47.368421052631575
14,7/10/2001,7/11/2001,57,35,8,55.5,34.0,10.5,-2.7027027027027026,-2.941176470588235,23.809523809523807
15,7/19/2001,7/22/2001,56,33,11,56.0,35.0,9.0,0.0,5.714285714285714,-22.22222222222222
16,8/3/2001,8/5/2001,55,35,10,57.0,34.5,8.5,3.508771929824561,-1.4492753623188406,-17.647058823529413
17,8/10/2001,8/12/2001,57,35,8,56.0,35.0,9.0,-1.7857142857142856,0.0,11.11111111111111
18,8/16/2001,8/19/2001,57,34,9,53.0,37.5,9.5,-7.547169811320755,9.333333333333334,5.263157894736842
19,8/24/2001,8/26/2001,55,36,9,68.5,24.5,7.0,19.708029197080293,-46.93877551020408,-28.57142857142857
20,9/7/2001,9/10/2001,51,39,10,88.0,8.0,4.0,42.04545454545455,-387.5,-150.0
21,9/14/2001,9/15/2001,86,10,4,88.5,8.0,3.5,2.824858757062147,-25.0,-14.285714285714285
22,9/21/2001,9/22/2001,90,6,4,88.0,9.0,3.0,-2.272727272727273,33.33333333333333,-33.33333333333333
23,10/5/2001,10/6/2001,87,10,3,88.5,8.5,3.0,1.694915254237288,-17.647058823529413,0.0
24,10/11/2001,10/14/2001,89,8,3,87.5,9.0,3.5,-1.7142857142857144,11.11111111111111,14.285714285714285
25,10/19/2001,10/21/2001,88,9,3,87.0,9.0,4.0,-1.1494252873563218,0.0,25.0
26,11/2/2001,11/4/2001,87,9,4,87.0,8.5,4.5,0.0,-5.88235294117647,11.11111111111111
27,11/8/2001,11/11/2001,87,9,4,86.5,9.0,4.5,-0.5780346820809248,0.0,11.11111111111111
28,11/26/2001,11/27/2001,87,8,5,86.0,10.5,3.5,-1.1627906976744187,23.809523809523807,-42.857142857142854
29,12/6/2001,12/9/2001,86,10,4,85.0,11.5,3.5,-1.1764705882352942,13.043478260869565,-14.285714285714285
30,12/14/2001,12/16/2001,86,11,3,83.5,12.5,4.0,-2.9940119760479043,12.0,25.0
31,1/7/2002,1/9/2002,84,12,4,83.5,13.0,3.5,-0.5988023952095809,7.6923076923076925,-14.285714285714285
32,1/11/2002,1/14/2002,83,13,4,83.0,13.5,3.5,0.0,3.7037037037037033,-14.285714285714285
33,1/25/2002,1/27/2002,84,13,3,82.0,14.0,4.0,-2.4390243902439024,7.142857142857142,25.0
34,2/4/2002,2/6/2002,82,14,4,81.5,14.0,4.5,-0.6134969325153374,0.0,11.11111111111111
35,2/8/2002,2/10/2002,82,14,4,79.0,16.0,5.0,-3.79746835443038,12.5,20.0
36,3/1/2002,3/3/2002,81,14,5,78.5,16.0,5.5,-3.1847133757961785,12.5,9.090909090909092
37,3/4/2002,3/7/2002,77,18,5,79.5,15.0,5.5,3.1446540880503147,-20.0,9.090909090909092
38,3/8/2002,3/9/2002,80,14,6,79.0,16.5,4.5,-1.2658227848101267,15.151515151515152,-33.33333333333333
39,3/18/2002,3/20/2002,79,16,5,77.5,18.0,4.5,-1.935483870967742,11.11111111111111,-11.11111111111111
40,3/22/2002,3/24/2002,79,17,4,75.5,19.5,5.0,-4.635761589403973,12.82051282051282,20.0
41,4/5/2002,4/7/2002,76,19,5,76.0,18.5,5.5,0.0,-2.7027027027027026,9.090909090909092
42,4/8/2002,4/11/2002,75,20,5,77.0,18.5,4.5,2.5974025974025974,-8.108108108108109,-11.11111111111111
43,4/22/2002,4/24/2002,77,17,6,76.5,19.5,4.0,-0.6535947712418301,12.82051282051282,-50.0
44,4/29/2002,5/1/2002,77,20,3,76.0,18.0,6.0,-1.3157894736842104,-11.11111111111111,50.0
45,5/6/2002,5/9/2002,76,19,5,76.5,17.0,6.5,0.6535947712418301,-11.76470588235294,23.076923076923077
46,5/20/2002,5/22/2002,76,17,7,73.5,20.0,6.5,-3.4013605442176873,15.0,-7.6923076923076925
47,5/28/2002,5/29/2002,77,17,6,72.0,20.5,7.5,-6.944444444444445,17.073170731707318,20.0
48,6/3/2002,6/6/2002,70,23,7,74.0,19.0,7.0,5.405405405405405,-21.052631578947366,0.0
49,6/7/2002,6/8/2002,74,18,8,73.5,20.5,6.0,-0.6802721088435374,12.195121951219512,-33.33333333333333
50,6/17/2002,6/19/2002,74,20,6,74.5,20.0,5.5,0.6711409395973155,0.0,-9.090909090909092
51,6/21/2002,6/23/2002,73,21,6,76.0,18.5,5.5,3.9473684210526314,-13.513513513513514,-9.090909090909092
52,6/28/2002,6/30/2002,76,19,5,74.5,19.5,6.0,-2.013422818791946,2.564102564102564,16.666666666666664
53,7/5/2002,7/8/2002,76,18,6,71.0,22.5,6.5,-7.042253521126761,20.0,7.6923076923076925
54,7/9/2002,7/11/2002,73,21,6,69.0,25.0,6.0,-5.797101449275362,16.0,0.0
55,7/22/2002,7/24/2002,69,24,7,70.0,24.5,5.5,1.4285714285714286,2.0408163265306123,-27.27272727272727
56,7/26/2002,7/28/2002,69,26,5,69.5,24.5,6.0,0.7194244604316548,-6.122448979591836,16.666666666666664
57,7/29/2002,7/31/2002,71,23,6,66.5,27.0,6.5,-6.7669172932330826,14.814814814814813,7.6923076923076925
58,8/5/2002,8/8/2002,68,26,6,65.5,28.5,6.0,-3.816793893129771,8.771929824561402,0.0
59,8/19/2002,8/21/2002,65,28,7,66.0,29.5,4.5,1.5151515151515151,5.084745762711865,-55.55555555555556
60,9/2/2002,9/4/2002,66,29,5,68.0,28.0,4.0,2.941176470588235,-3.571428571428571,-25.0
61,9/5/2002,9/8/2002,66,30,4,68.0,28.0,4.0,2.941176470588235,-7.142857142857142,0.0
62,9/13/2002,9/16/2002,70,26,4,67.0,28.0,5.0,-4.477611940298507,7.142857142857142,20.0
63,9/20/2002,9/22/2002,66,30,4,67.5,27.0,5.5,2.2222222222222223,-11.11111111111111,27.27272727272727
64,9/23/2002,9/26/2002,68,26,6,64.5,29.5,6.0,-5.426356589147287,11.864406779661017,0.0
65,10/3/2002,10/6/2002,67,28,5,64.5,29.5,6.0,-3.875968992248062,5.084745762711865,16.666666666666664
66,10/14/2002,10/17/2002,62,31,7,65.0,28.5,6.5,4.615384615384616,-8.771929824561402,-7.6923076923076925
67,10/21/2002,10/22/2002,67,28,5,65.5,28.0,6.5,-2.2900763358778624,0.0,23.076923076923077
68,10/31/2002,11/3/2002,63,29,8,67.0,26.5,6.5,5.970149253731343,-9.433962264150944,-23.076923076923077
69,11/8/2002,11/10/2002,68,27,5,65.5,27.0,7.5,-3.816793893129771,0.0,33.33333333333333
70,11/11/2002,11/14/2002,66,26,8,64.5,28.5,7.0,-2.3255813953488373,8.771929824561402,-14.285714285714285
71,11/22/2002,11/24/2002,65,28,7,63.5,30.5,6.0,-2.3622047244094486,8.19672131147541,-16.666666666666664
72,12/5/2002,12/8/2002,64,29,7,63.0,32.5,4.5,-1.5873015873015872,10.76923076923077,-55.55555555555556
73,12/9/2002,12/10/2002,63,32,5,62.0,32.5,5.5,-1.6129032258064515,1.5384615384615385,9.090909090909092
74,12/16/2002,12/17/2002,63,33,4,62.0,32.0,6.0,-1.6129032258064515,-3.125,33.33333333333333
75,12/19/2002,12/22/2002,61,32,7,60.5,34.5,5.0,-0.8264462809917356,7.246376811594203,-40.0
76,1/3/2003,1/5/2003,63,32,5,59.5,35.5,5.0,-5.88235294117647,9.859154929577464,0.0
77,1/10/2003,1/12/2003,58,37,5,59.5,35.0,5.5,2.5210084033613445,-5.714285714285714,9.090909090909092
78,1/13/2003,1/16/2003,61,34,5,59.0,36.0,5.0,-3.389830508474576,5.555555555555555,0.0
79,1/20/2003,1/22/2003,58,36,6,60.5,35.5,4.0,4.132231404958678,-1.4084507042253522,-50.0
80,1/23/2003,1/25/2003,60,36,4,60.0,35.0,5.0,0.0,-2.857142857142857,20.0
81,1/31/2003,2/2/2003,61,35,4,60.0,34.5,5.5,-1.6666666666666667,-1.4492753623188406,27.27272727272727
82,2/3/2003,2/6/2003,59,35,6,59.5,35.5,5.0,0.8403361344537815,1.4084507042253522,-20.0
83,2/7/2003,2/9/2003,61,34,5,57.5,37.0,5.5,-6.086956521739131,8.108108108108109,9.090909090909092
84,2/17/2003,2/19/2003,58,37,5,57.0,37.0,6.0,-1.7543859649122806,0.0,16.666666666666664
85,2/24/2003,2/26/2003,57,37,6,57.5,37.5,5.0,0.8695652173913043,1.3333333333333335,-20.0
86,3/3/2003,3/5/2003,57,37,6,64.5,31.5,4.0,11.627906976744185,-17.46031746031746,-50.0
87,3/14/2003,3/15/2003,58,38,4,70.0,26.0,4.0,17.142857142857142,-46.15384615384615,0.0
88,3/22/2003,3/23/2003,71,25,4,70.0,26.5,3.5,-1.4285714285714286,5.660377358490567,-14.285714285714285
89,3/24/2003,3/25/2003,69,27,4,70.5,26.5,3.0,2.127659574468085,-1.8867924528301887,-33.33333333333333
90,3/29/2003,3/30/2003,71,26,3,69.5,26.5,4.0,-2.158273381294964,1.8867924528301887,25.0
91,4/5/2003,4/6/2003,70,27,3,70.0,25.0,5.0,0.0,-8.0,40.0
92,4/7/2003,4/9/2003,69,26,5,70.5,25.0,4.5,2.127659574468085,-4.0,-11.11111111111111
93,4/14/2003,4/16/2003,71,24,5,69.5,27.0,3.5,-2.158273381294964,11.11111111111111,-42.857142857142854
94,4/22/2003,4/23/2003,70,26,4,67.5,29.0,3.5,-3.7037037037037033,10.344827586206897,-14.285714285714285
95,5/5/2003,5/7/2003,69,28,3,65.0,31.0,4.0,-6.153846153846154,9.67741935483871,25.0
96,5/19/2003,5/21/2003,66,30,4,63.0,33.0,4.0,-4.761904761904762,9.090909090909092,0.0
97,5/30/2003,6/1/2003,64,32,4,62.5,33.5,4.0,-2.4,4.477611940298507,0.0
98,6/9/2003,6/10/2003,62,34,4,62.0,34.5,3.5,0.0,1.4492753623188406,-14.285714285714285
99,6/12/2003,6/15/2003,63,33,4,61.5,35.0,3.5,-2.4390243902439024,5.714285714285714,-14.285714285714285
100,6/27/2003,6/29/2003,61,36,3,60.5,36.0,3.5,-0.8264462809917356,0.0,14.285714285714285
101,7/7/2003,7/9/2003,62,34,4,58.5,38.0,3.5,-5.982905982905983,10.526315789473683,-14.285714285714285
102,7/18/2003,7/20/2003,59,38,3,59.0,37.0,4.0,0.0,-2.7027027027027026,25.0
103,7/25/2003,7/27/2003,58,38,4,59.5,36.5,4.0,2.5210084033613445,-4.10958904109589,0.0
104,8/4/2003,8/6/2003,60,36,4,55.5,40.0,4.5,-8.108108108108109,10.0,11.11111111111111
105,8/25/2003,8/26/2003,59,37,4,51.0,45.0,4.0,-15.686274509803921,17.77777777777778,0.0
106,9/8/2003,9/10/2003,52,43,5,52.5,44.5,3.0,0.9523809523809524,3.3707865168539324,-66.66666666666666
107,9/19/2003,9/21/2003,50,47,3,55.5,41.0,3.5,9.90990990990991,-14.634146341463413,14.285714285714285
108,10/6/2003,10/8/2003,55,42,3,54.5,41.0,4.5,-0.9174311926605505,-2.4390243902439024,33.33333333333333
109,10/10/2003,10/12/2003,56,40,4,53.5,42.5,4.0,-4.672897196261682,5.88235294117647,0.0
110,10/24/2003,10/26/2003,53,42,5,52.5,44.0,3.5,-0.9523809523809524,4.545454545454546,-42.857142857142854
111,11/3/2003,11/5/2003,54,43,3,50.5,46.0,3.5,-6.9306930693069315,6.521739130434782,14.285714285714285
112,11/10/2003,11/12/2003,51,45,4,52.5,45.0,2.5,2.857142857142857,0.0,-60.0
113,11/14/2003,11/16/2003,50,47,3,55.5,42.0,2.5,9.90990990990991,-11.904761904761903,-20.0
114,12/5/2003,12/7/2003,55,43,2,59.5,37.5,3.0,7.563025210084033,-14.666666666666666,33.33333333333333
115,12/11/2003,12/14/2003,56,41,3,61.5,34.5,4.0,8.94308943089431,-18.84057971014493,25.0
116,12/15/2003,12/16/2003,63,34,3,59.5,36.5,4.0,-5.88235294117647,6.8493150684931505,25.0
117,1/2/2004,1/5/2004,60,35,5,56.0,41.0,3.0,-7.142857142857142,14.634146341463413,-66.66666666666666
118,1/9/2004,1/11/2004,59,38,3,51.0,46.0,3.0,-15.686274509803921,17.391304347826086,0.0
119,1/12/2004,1/15/2004,53,44,3,50.5,46.0,3.5,-4.9504950495049505,4.3478260869565215,14.285714285714285
120,1/29/2004,2/1/2004,49,48,3,51.5,45.0,3.5,4.854368932038835,-6.666666666666667,14.285714285714285
121,2/6/2004,2/8/2004,52,44,4,51.0,46.0,3.0,-1.9607843137254901,4.3478260869565215,-33.33333333333333
122,2/9/2004,2/12/2004,51,46,3,50.0,47.0,3.0,-2.0,2.127659574468085,0.0
123,2/16/2004,2/17/2004,51,46,3,49.5,47.5,3.0,-3.0303030303030303,3.1578947368421053,0.0
124,3/5/2004,3/7/2004,49,48,3,51.5,45.5,3.0,4.854368932038835,-5.4945054945054945,0.0
125,3/8/2004,3/11/2004,50,47,3,52.5,44.5,3.0,4.761904761904762,-5.617977528089887,0.0
126,3/26/2004,3/28/2004,53,44,3,52.0,45.0,3.0,-1.9230769230769231,2.2222222222222223,0.0
127,4/5/2004,4/8/2004,52,45,3,50.5,46.5,3.0,-2.9702970297029703,3.225806451612903,0.0
128,4/16/2004,4/18/2004,52,45,3,47.5,49.5,3.0,-9.473684210526317,9.090909090909092,0.0
129,5/2/2004,5/4/2004,49,48,3,46.5,50.0,3.5,-5.376344086021505,4.0,14.285714285714285
130,5/7/2004,5/9/2004,46,51,3,48.0,49.0,3.0,4.166666666666666,-4.081632653061225,0.0
131,5/21/2004,5/23/2004,47,49,4,48.5,49.0,2.5,3.0927835051546393,0.0,-60.0
132,6/3/2004,6/6/2004,49,49,2,47.5,49.0,3.5,-3.1578947368421053,0.0,42.857142857142854
133,6/21/2004,6/23/2004,48,49,3,48.0,48.0,4.0,0.0,-2.083333333333333,25.0
134,7/8/2004,7/11/2004,47,49,4,48.5,48.0,3.5,3.0927835051546393,-2.083333333333333,-14.285714285714285
135,7/19/2004,7/21/2004,49,47,4,49.5,47.5,3.0,1.0101010101010102,1.0526315789473684,-33.33333333333333
136,7/30/2004,8/1/2004,48,49,3,50.0,46.5,3.5,4.0,-5.376344086021505,14.285714285714285
137,8/9/2004,8/11/2004,51,46,3,50.5,46.5,3.0,-0.9900990099009901,1.0752688172043012,0.0
138,8/23/2004,8/25/2004,49,47,4,52.0,45.5,2.5,5.769230769230769,-3.296703296703297,-60.0
139,9/3/2004,9/5/2004,52,46,2,53.0,44.5,2.5,1.8867924528301887,-3.3707865168539324,20.0
140,9/13/2004,9/15/2004,52,45,3,52.0,46.0,2.0,0.0,2.1739130434782608,-50.0
141,9/24/2004,9/26/2004,54,44,2,48.5,48.5,3.0,-11.34020618556701,9.278350515463918,33.33333333333333
142,10/1/2004,10/3/2004,50,48,2,47.5,49.0,3.5,-5.263157894736842,2.0408163265306123,42.857142857142854
143,10/9/2004,10/10/2004,47,49,4,49.5,48.0,2.5,5.05050505050505,-2.083333333333333,-60.0
144,10/11/2004,10/14/2004,48,49,3,51.0,46.5,2.5,5.88235294117647,-5.376344086021505,-20.0
145,10/14/2004,10/16/2004,51,47,2,49.5,46.5,4.0,-3.0303030303030303,-1.0752688172043012,50.0
146,10/22/2004,10/24/2004,51,46,3,50.5,45.5,4.0,-0.9900990099009901,-1.098901098901099,25.0
147,10/29/2004,10/31/2004,48,47,5,54.0,43.0,3.0,11.11111111111111,-9.30232558139535,-66.66666666666666
148,11/7/2004,11/10/2004,53,44,3,54.0,43.0,3.0,1.8518518518518516,-2.3255813953488373,0.0
149,11/19/2004,11/21/2004,55,42,3,51.0,45.0,4.0,-7.8431372549019605,6.666666666666667,25.0
150,12/5/2004,12/8/2004,53,44,3,50.5,45.0,4.5,-4.9504950495049505,2.2222222222222223,33.33333333333333
151,12/17/2004,12/19/2004,49,46,5,52.0,44.0,4.0,5.769230769230769,-4.545454545454546,-25.0
152,1/3/2005,1/5/2005,52,44,4,51.5,45.0,3.5,-0.9708737864077669,2.2222222222222223,-14.285714285714285
153,1/7/2005,1/9/2005,52,44,4,54.0,43.0,3.0,3.7037037037037033,-2.3255813953488373,-33.33333333333333
154,1/14/2005,1/16/2005,51,46,3,53.0,44.0,3.0,3.7735849056603774,-4.545454545454546,0.0
155,2/4/2005,2/6/2005,57,40,3,50.0,46.5,3.5,-14.000000000000002,13.978494623655912,14.285714285714285
156,2/7/2005,2/10/2005,49,48,3,51.5,45.0,3.5,4.854368932038835,-6.666666666666667,14.285714285714285
157,2/21/2005,2/24/2005,51,45,4,52.0,44.5,3.5,1.9230769230769231,-1.1235955056179776,-14.285714285714285
158,2/25/2005,2/27/2005,52,45,3,52.0,44.0,4.0,0.0,-2.272727272727273,25.0
159,3/7/2005,3/10/2005,52,44,4,48.5,46.5,5.0,-7.216494845360824,5.376344086021505,20.0
160,3/18/2005,3/20/2005,52,44,4,46.5,48.5,5.0,-11.827956989247312,9.278350515463918,20.0
161,3/21/2005,3/23/2005,45,49,6,49.0,46.5,4.5,8.16326530612245,-5.376344086021505,-33.33333333333333
162,4/1/2005,4/2/2005,48,48,4,49.0,47.0,4.0,2.0408163265306123,-2.127659574468085,0.0
163,4/4/2005,4/7/2005,50,45,5,48.0,49.0,3.0,-4.166666666666666,8.16326530612245,-66.66666666666666
164,4/18/2005,4/21/2005,48,49,3,49.0,47.0,4.0,2.0408163265306123,-4.25531914893617,25.0
165,4/29/2005,5/1/2005,48,49,3,48.0,47.5,4.5,0.0,-3.1578947368421053,33.33333333333333
166,5/2/2005,5/5/2005,50,45,5,47.0,48.5,4.5,-6.382978723404255,7.216494845360824,-11.11111111111111
167,5/20/2005,5/22/2005,46,50,4,47.5,48.0,4.5,3.1578947368421053,-4.166666666666666,11.11111111111111
168,5/23/2005,5/26/2005,48,47,5,47.0,50.0,3.0,-2.127659574468085,6.0,-66.66666666666666
169,6/6/2005,6/8/2005,47,49,4,46.0,52.0,2.0,-2.1739130434782608,5.769230769230769,-100.0
170,6/16/2005,6/19/2005,47,51,2,45.5,52.0,2.5,-3.296703296703297,1.9230769230769231,20.0
171,6/24/2005,6/26/2005,45,53,2,47.5,49.5,3.0,5.263157894736842,-7.07070707070707,33.33333333333333
172,6/29/2005,6/30/2005,46,51,3,49.0,48.0,3.0,6.122448979591836,-6.25,0.0
173,7/7/2005,7/10/2005,49,48,3,46.5,49.5,4.0,-5.376344086021505,3.0303030303030303,25.0
174,7/22/2005,7/24/2005,49,48,3,44.5,51.0,4.5,-10.112359550561797,5.88235294117647,33.33333333333333
175,7/25/2005,7/28/2005,44,51,5,45.0,51.0,4.0,2.2222222222222223,0.0,-25.0
176,8/5/2005,8/7/2005,45,51,4,42.5,54.5,3.0,-5.88235294117647,6.422018348623854,-33.33333333333333
177,8/8/2005,8/11/2005,45,51,4,42.5,55.0,2.5,-5.88235294117647,7.2727272727272725,-60.0
178,8/22/2005,8/25/2005,40,58,2,45.5,51.5,3.0,12.087912087912088,-12.62135922330097,33.33333333333333
179,8/28/2005,8/30/2005,45,52,3,45.5,51.5,3.0,1.098901098901099,-0.9708737864077669,0.0
180,9/8/2005,9/11/2005,46,51,3,42.5,55.0,2.5,-8.235294117647058,7.2727272727272725,-20.0
181,9/12/2005,9/15/2005,45,52,3,42.0,54.0,4.0,-7.142857142857142,3.7037037037037033,25.0
182,9/16/2005,9/18/2005,40,58,2,41.5,54.0,4.5,3.614457831325301,-7.4074074074074066,55.55555555555556
183,9/26/2005,9/28/2005,44,50,6,40.5,56.5,3.0,-8.641975308641975,11.504424778761061,-100.0
184,10/13/2005,10/16/2005,39,58,3,41.5,55.5,3.0,6.024096385542169,-4.504504504504505,0.0
185,10/21/2005,10/23/2005,42,55,3,40.5,55.5,4.0,-3.7037037037037033,0.9009009009009009,25.0
186,10/28/2005,10/30/2005,41,56,3,38.5,57.5,4.0,-6.493506493506493,2.608695652173913,25.0
187,11/7/2005,11/10/2005,40,55,5,37.5,58.5,4.0,-6.666666666666667,5.982905982905983,-25.0
188,11/11/2005,11/13/2005,37,60,3,40.5,54.5,5.0,8.641975308641975,-10.091743119266056,40.0
189,11/17/2005,11/20/2005,38,57,5,42.5,53.5,4.0,10.588235294117647,-6.5420560747663545,-25.0
190,12/5/2005,12/8/2005,43,52,5,41.5,55.5,3.0,-3.614457831325301,6.306306306306306,-66.66666666666666
191,12/9/2005,12/11/2005,42,55,3,42.0,54.5,3.5,0.0,-0.9174311926605505,14.285714285714285
192,12/16/2005,12/18/2005,41,56,3,43.0,53.5,3.5,4.651162790697675,-4.672897196261682,14.285714285714285
193,12/19/2005,12/22/2005,43,53,4,43.0,53.5,3.5,0.0,0.9345794392523363,-14.285714285714285
194,1/6/2006,1/8/2006,43,54,3,43.0,53.5,3.5,0.0,-0.9345794392523363,14.285714285714285
195,1/9/2006,1/12/2006,43,53,4,42.5,54.5,3.0,-1.1764705882352942,2.7522935779816518,-33.33333333333333
196,1/20/2006,1/22/2006,43,54,3,40.5,55.5,4.0,-6.172839506172839,2.7027027027027026,25.0
197,2/6/2006,2/9/2006,42,55,3,38.5,58.0,3.5,-9.090909090909092,5.172413793103448,14.285714285714285
198,2/9/2006,2/12/2006,39,56,5,37.0,60.0,3.0,-5.405405405405405,6.666666666666667,-66.66666666666666
199,2/28/2006,3/1/2006,38,60,2,36.5,59.5,4.0,-4.10958904109589,-0.8403361344537815,50.0
200,3/10/2006,3/12/2006,36,60,4,37.0,59.5,3.5,2.7027027027027026,-0.8403361344537815,-14.285714285714285
201,3/13/2006,3/16/2006,37,59,4,36.5,61.5,2.0,-1.36986301369863,4.0650406504065035,-100.0
202,4/7/2006,4/9/2006,37,60,3,35.0,64.0,1.0,-5.714285714285714,6.25,-200.0
203,4/10/2006,4/13/2006,36,63,1,32.5,63.0,4.5,-10.76923076923077,0.0,77.77777777777779
204,4/28/2006,4/30/2006,34,65,1,32.0,61.0,7.0,-6.25,-6.557377049180328,85.71428571428571
205,5/5/2006,5/7/2006,31,61,8,34.5,59.0,6.5,10.144927536231885,-3.389830508474576,-23.076923076923077
206,5/8/2006,5/11/2006,33,61,6,37.0,56.5,6.5,10.81081081081081,-7.964601769911504,7.6923076923076925
