,Start Date,End Date,Approving,Disapproving,Unsure/NoData,President,Approve_rolling,Disapprove_rolling,Unsure_rolling,Approve_change,Disapprove_change,Unsure_change
0,2/4/1977,2/7/1977,66,8,26,Jimmy Carter,70.5,9.0,20.5,6.382978723404255,11.11111111111111,-26.82926829268293
1,2/18/1977,2/21/1977,71,9,20,Jimmy Carter,72.5,9.0,18.5,2.0689655172413794,0.0,-8.108108108108109
2,3/4/1977,3/7/1977,70,9,21,Jimmy Carter,73.5,9.5,17.0,4.761904761904762,5.263157894736842,-23.52941176470588
3,3/18/1977,3/21/1977,75,9,16,Jimmy Carter,69.5,12.0,18.5,-7.913669064748201,25.0,13.513513513513514
4,3/25/1977,3/28/1977,72,10,18,Jimmy Carter,65.0,16.0,19.0,-10.76923076923077,37.5,5.263157894736842
5,4/1/1977,4/4/1977,67,14,19,Jimmy Carter,63.0,18.0,19.0,-6.349206349206349,22.22222222222222,0.0
6,4/15/1977,4/18/1977,63,18,19,Jimmy Carter,64.5,18.5,17.0,2.3255813953488373,2.7027027027027026,-11.76470588235294
7,4/29/1977,5/2/1977,63,18,19,Jimmy Carter,65.0,19.0,16.0,3.076923076923077,5.263157894736842,-18.75
8,5/6/1977,5/9/1977,66,19,15,Jimmy Carter,63.5,19.0,17.5,-3.937007874015748,0.0,14.285714285714285
9,5/20/1977,5/23/1977,64,19,17,Jimmy Carter,63.0,18.5,18.5,-1.5873015873015872,-2.7027027027027026,8.108108108108109
10,6/3/1977,6/6/1977,63,19,18,Jimmy Carter,62.5,20.0,17.5,-0.8,5.0,-2.857142857142857
11,6/17/1977,6/20/1977,63,18,19,Jimmy Carter,64.5,19.5,16.0,2.3255813953488373,7.6923076923076925,-18.75
12,7/8/1977,7/11/1977,62,22,16,Jimmy Carter,63.5,20.0,16.5,2.3622047244094486,-10.0,3.0303030303030303
13,7/22/1977,7/25/1977,67,17,16,Jimmy Carter,63.0,19.5,17.5,-6.349206349206349,12.82051282051282,8.571428571428571
14,8/5/1977,8/8/1977,60,23,17,Jimmy Carter,60.0,22.5,17.5,0.0,-2.2222222222222223,2.857142857142857
15,8/19/1977,8/22/1977,66,16,18,Jimmy Carter,56.5,26.5,17.0,-16.8141592920354,39.62264150943396,-5.88235294117647
16,9/9/1977,9/12/1977,54,29,17,Jimmy Carter,57.0,26.5,16.5,5.263157894736842,-9.433962264150944,-3.0303030303030303
17,9/30/1977,10/3/1977,59,24,17,Jimmy Carter,54.5,29.5,16.0,-8.256880733944955,18.64406779661017,-6.25
18,10/14/1977,10/17/1977,55,29,16,Jimmy Carter,52.5,30.5,17.0,-4.761904761904762,4.918032786885246,5.88235294117647
19,10/21/1977,10/24/1977,54,30,16,Jimmy Carter,53.0,30.5,16.5,-1.8867924528301887,1.639344262295082,3.0303030303030303
20,10/28/1977,10/31/1977,51,31,18,Jimmy Carter,55.5,30.0,14.5,8.108108108108109,-3.3333333333333335,-24.137931034482758
21,11/4/1977,11/7/1977,55,30,15,Jimmy Carter,56.5,28.5,15.0,2.6548672566371683,-5.263157894736842,0.0
22,11/18/1977,11/21/1977,56,30,14,Jimmy Carter,56.0,27.0,17.0,0.0,-11.11111111111111,17.647058823529413
23,12/9/1977,12/12/1977,57,27,16,Jimmy Carter,53.5,27.5,19.0,-6.5420560747663545,1.8181818181818181,15.789473684210526
24,1/6/1978,1/9/1978,55,27,18,Jimmy Carter,49.5,31.0,19.5,-11.11111111111111,12.903225806451612,7.6923076923076925
25,1/20/1978,1/23/1978,52,28,20,Jimmy Carter,48.5,33.5,18.0,-7.216494845360824,16.417910447761194,-11.11111111111111
26,2/11/1978,2/14/1978,47,34,19,Jimmy Carter,49.5,33.0,17.5,5.05050505050505,-3.0303030303030303,-8.571428571428571
27,2/24/1978,2/27/1978,50,33,17,Jimmy Carter,49.5,34.0,16.5,-1.0101010101010102,2.941176470588235,-3.0303030303030303
28,3/2/1978,3/5/1978,49,33,18,Jimmy Carter,49.0,37.0,14.0,0.0,10.81081081081081,-28.57142857142857
29,3/10/1978,3/13/1978,50,35,15,Jimmy Carter,44.0,41.5,14.5,-13.636363636363635,15.66265060240964,-3.4482758620689653
30,3/31/1978,4/3/1978,48,39,13,Jimmy Carter,40.5,43.0,16.5,-18.51851851851852,9.30232558139535,21.21212121212121
31,4/14/1978,4/17/1978,40,44,16,Jimmy Carter,41.0,42.5,16.5,2.4390243902439024,-3.5294117647058822,3.0303030303030303
32,4/28/1978,5/1/1978,41,42,17,Jimmy Carter,42.0,43.0,15.0,2.380952380952381,2.3255813953488373,-13.333333333333334
33,5/5/1978,5/8/1978,41,43,16,Jimmy Carter,43.5,42.0,14.5,5.747126436781609,-2.380952380952381,-10.344827586206897
34,5/19/1978,5/22/1978,43,43,14,Jimmy Carter,43.0,41.5,15.5,0.0,-3.614457831325301,9.67741935483871
35,6/2/1978,6/5/1978,44,41,15,Jimmy Carter,41.0,41.5,17.5,-7.317073170731707,1.2048192771084338,14.285714285714285
36,6/16/1978,6/19/1978,42,42,16,Jimmy Carter,39.5,42.5,18.0,-6.329113924050633,1.1764705882352942,11.11111111111111
37,7/8/1978,7/10/1978,40,41,19,Jimmy Carter,39.0,44.0,17.0,-2.564102564102564,6.8181818181818175,-11.76470588235294
38,7/21/1978,7/24/1978,39,44,17,Jimmy Carter,39.5,43.5,17.0,1.2658227848101267,-1.1494252873563218,0.0
39,8/4/1978,8/7/1978,39,44,17,Jimmy Carter,41.5,42.0,16.5,6.024096385542169,-4.761904761904762,-3.0303030303030303
40,8/11/1978,8/14/1978,40,43,17,Jimmy Carter,42.5,41.5,16.0,5.88235294117647,-3.614457831325301,-6.25
41,8/18/1978,8/21/1978,43,41,16,Jimmy Carter,43.5,41.0,15.5,1.1494252873563218,0.0,-3.225806451612903
42,9/8/1978,9/11/1978,42,42,16,Jimmy Carter,46.5,37.0,16.5,9.67741935483871,-13.513513513513514,3.0303030303030303
43,9/15/1978,9/18/1978,45,40,15,Jimmy Carter,48.5,35.0,16.5,7.216494845360824,-14.285714285714285,9.090909090909092
44,9/22/1978,9/25/1978,48,34,18,Jimmy Carter,50.5,36.0,13.5,4.9504950495049505,5.555555555555555,-33.33333333333333
45,10/27/1978,10/30/1978,49,36,15,Jimmy Carter,51.0,35.0,14.0,3.9215686274509802,-2.857142857142857,-7.142857142857142
46,11/10/1978,11/13/1978,52,36,12,Jimmy Carter,50.5,34.0,15.5,-2.9702970297029703,-5.88235294117647,22.58064516129032
47,12/1/1978,12/4/1978,50,34,16,Jimmy Carter,50.5,35.0,14.5,0.9900990099009901,2.857142857142857,-10.344827586206897
48,12/8/1978,12/11/1978,51,34,15,Jimmy Carter,46.5,38.5,15.0,-9.67741935483871,11.688311688311687,0.0
49,1/5/1979,1/8/1979,50,36,14,Jimmy Carter,42.5,41.5,16.0,-17.647058823529413,13.253012048192772,12.5
50,1/19/1979,1/22/1979,43,41,16,Jimmy Carter,39.5,44.0,16.5,-8.860759493670885,6.8181818181818175,3.0303030303030303
51,2/2/1979,2/5/1979,42,42,16,Jimmy Carter,38.0,47.0,15.0,-10.526315789473683,10.638297872340425,-6.666666666666667
52,2/23/1979,2/26/1979,37,46,17,Jimmy Carter,43.0,43.5,13.5,13.953488372093023,-5.747126436781609,-25.925925925925924
53,3/2/1979,3/5/1979,39,48,13,Jimmy Carter,44.5,41.5,14.0,12.359550561797752,-15.66265060240964,7.142857142857142
54,3/16/1979,3/19/1979,47,39,14,Jimmy Carter,41.0,45.0,14.0,-14.634146341463413,13.333333333333334,0.0
55,3/23/1979,3/31/1979,42,44,14,Jimmy Carter,38.5,47.5,14.0,-9.090909090909092,7.368421052631578,0.0
56,4/6/1979,4/9/1979,40,46,14,Jimmy Carter,34.5,51.0,14.5,-15.942028985507244,9.803921568627452,3.4482758620689653
57,5/4/1979,5/7/1979,37,49,14,Jimmy Carter,30.5,54.5,15.0,-21.311475409836063,10.091743119266056,6.666666666666667
58,5/18/1979,5/21/1979,32,53,15,Jimmy Carter,29.0,56.5,14.5,-10.344827586206897,6.1946902654867255,-3.4482758620689653
59,6/1/1979,6/4/1979,29,56,15,Jimmy Carter,28.5,58.0,13.5,-1.7543859649122806,3.4482758620689653,-11.11111111111111
60,6/22/1979,6/25/1979,29,57,14,Jimmy Carter,28.5,58.5,13.0,-1.7543859649122806,2.564102564102564,-7.6923076923076925
61,6/29/1979,7/2/1979,28,59,13,Jimmy Carter,30.5,55.5,14.0,8.19672131147541,-6.306306306306306,7.142857142857142
62,7/13/1979,7/16/1979,29,58,13,Jimmy Carter,32.5,54.0,13.5,10.76923076923077,-7.4074074074074066,3.7037037037037033
63,8/3/1979,8/6/1979,32,53,15,Jimmy Carter,32.5,54.5,13.0,1.5384615384615385,2.7522935779816518,-15.384615384615385
64,8/10/1979,8/13/1979,33,55,12,Jimmy Carter,31.0,54.5,14.5,-6.451612903225806,-0.9174311926605505,17.24137931034483
65,8/17/1979,8/20/1979,32,54,14,Jimmy Carter,31.5,54.5,14.0,-1.5873015873015872,0.9174311926605505,0.0
66,9/7/1979,9/10/1979,30,55,15,Jimmy Carter,31.0,56.0,13.0,3.225806451612903,1.7857142857142856,-15.384615384615385
67,9/28/1979,10/1/1979,33,54,13,Jimmy Carter,30.0,56.5,13.5,-10.0,4.424778761061947,3.7037037037037033
68,10/5/1979,10/8/1979,29,58,13,Jimmy Carter,31.5,55.0,13.5,7.936507936507936,-5.454545454545454,3.7037037037037033
69,10/12/1979,10/15/1979,31,55,14,Jimmy Carter,35.0,52.0,13.0,11.428571428571429,-5.769230769230769,-7.6923076923076925
70,11/2/1979,11/5/1979,32,55,13,Jimmy Carter,44.5,43.0,12.5,28.08988764044944,-27.906976744186046,-4.0
71,11/16/1979,11/19/1979,38,49,13,Jimmy Carter,52.5,36.0,11.5,27.61904761904762,-36.11111111111111,-13.043478260869565
72,11/30/1979,12/3/1979,51,37,12,Jimmy Carter,55.0,34.0,11.0,7.2727272727272725,-8.823529411764707,-9.090909090909092
73,12/7/1979,12/10/1979,54,35,11,Jimmy Carter,57.0,32.5,10.5,5.263157894736842,-7.6923076923076925,-4.761904761904762
74,1/5/1980,1/8/1980,56,33,11,Jimmy Carter,56.5,34.0,9.5,0.8849557522123894,2.941176470588235,-15.789473684210526
75,1/25/1980,1/28/1980,58,32,10,Jimmy Carter,53.5,37.0,9.5,-8.411214953271028,13.513513513513514,-5.263157894736842
76,2/1/1980,2/4/1980,55,36,9,Jimmy Carter,47.5,41.5,11.0,-15.789473684210526,13.253012048192772,18.181818181818183
77,2/29/1980,3/3/1980,52,38,10,Jimmy Carter,41.0,48.0,11.0,-26.82926829268293,20.833333333333336,9.090909090909092
78,3/7/1980,3/10/1980,43,45,12,Jimmy Carter,39.0,50.5,10.5,-10.256410256410255,10.891089108910892,-14.285714285714285
79,3/27/1980,3/30/1980,39,51,10,Jimmy Carter,41.0,48.5,10.5,4.878048780487805,-5.154639175257731,4.761904761904762
80,4/11/1980,4/14/1980,39,50,11,Jimmy Carter,40.5,49.0,10.5,3.7037037037037033,-2.0408163265306123,-4.761904761904762
81,5/2/1980,5/5/1980,43,47,10,Jimmy Carter,38.0,51.5,10.5,-13.157894736842104,8.737864077669903,4.761904761904762
82,5/16/1980,5/19/1980,38,51,11,Jimmy Carter,35.0,54.0,11.0,-8.571428571428571,5.555555555555555,0.0
83,5/30/1980,6/2/1980,38,52,10,Jimmy Carter,31.5,57.0,11.5,-20.634920634920633,8.771929824561402,13.043478260869565
84,6/13/1980,6/16/1980,32,56,12,Jimmy Carter,32.0,56.5,11.5,0.0,0.8849557522123894,-4.3478260869565215
85,6/27/1980,6/30/1980,31,58,11,Jimmy Carter,32.5,55.0,12.5,4.615384615384616,-5.454545454545454,12.0
86,7/11/1980,7/14/1980,33,55,12,Jimmy Carter,34.5,55.0,10.5,4.3478260869565215,0.0,-14.285714285714285
87,8/15/1980,8/18/1980,32,55,13,Jimmy Carter,34.0,55.5,10.5,5.88235294117647,0.9009009009009009,-23.809523809523807
88,9/12/1980,9/15/1980,37,55,8,Jimmy Carter,32.5,55.5,12.0,-13.846153846153847,0.9009009009009009,33.33333333333333
89,11/21/1980,11/24/1980,31,56,13,Jimmy Carter,,,,,,
90,12/5/1980,12/8/1980,34,55,11,Jimmy Carter,,,,,,
