,Start Date,End Date,Approving,Disapproving,Unsure/NoData,President,Approve_rolling,Disapprove_rolling,Unsure_rolling,Approve_change,Disapprove_change,Unsure_change
0,1/24/1993,1/26/1993,58,20,22,Bill Clinton,52.5,32.0,15.5,-10.476190476190476,37.5,-41.935483870967744
1,1/29/1993,1/31/1993,54,30,16,Bill Clinton,55.0,31.5,13.5,1.8181818181818181,4.761904761904762,-18.51851851851852
2,2/12/1993,2/14/1993,51,34,15,Bill Clinton,56.0,31.5,12.5,8.928571428571429,-7.936507936507936,-20.0
3,2/26/1993,2/28/1993,59,29,12,Bill Clinton,52.5,35.5,12.0,-12.380952380952381,18.30985915492958,0.0
4,3/12/1993,3/14/1993,53,34,13,Bill Clinton,53.5,37.0,9.5,0.9345794392523363,8.108108108108109,-36.84210526315789
5,3/29/1993,3/31/1993,52,37,11,Bill Clinton,50.0,40.5,9.5,-4.0,8.641975308641975,-15.789473684210526
6,4/22/1993,4/24/1993,55,37,8,Bill Clinton,44.5,45.0,10.5,-23.595505617977526,17.77777777777778,23.809523809523807
7,5/10/1993,5/12/1993,45,44,11,Bill Clinton,40.5,47.5,12.0,-11.11111111111111,7.368421052631578,8.333333333333332
8,5/21/1993,5/23/1993,44,46,10,Bill Clinton,38.0,49.5,12.5,-15.789473684210526,7.07070707070707,20.0
9,6/5/1993,6/6/1993,37,49,14,Bill Clinton,42.5,48.5,9.0,12.941176470588237,-1.0309278350515463,-55.55555555555556
10,6/18/1993,6/21/1993,39,50,11,Bill Clinton,45.5,47.5,7.0,14.285714285714285,-5.263157894736842,-57.14285714285714
11,6/29/1993,6/30/1993,46,47,7,Bill Clinton,43.0,48.5,8.5,-6.976744186046512,3.0927835051546393,17.647058823529413
12,7/9/1993,7/11/1993,45,48,7,Bill Clinton,42.5,48.5,9.0,-5.88235294117647,1.0309278350515463,22.22222222222222
13,7/19/1993,7/21/1993,41,49,10,Bill Clinton,44.0,47.5,8.5,6.8181818181818175,-3.1578947368421053,-17.647058823529413
14,8/8/1993,8/10/1993,44,48,8,Bill Clinton,45.5,44.5,10.0,3.296703296703297,-7.865168539325842,20.0
15,8/23/1993,8/25/1993,44,47,9,Bill Clinton,46.5,42.5,11.0,5.376344086021505,-10.588235294117647,18.181818181818183
16,9/10/1993,9/12/1993,47,42,11,Bill Clinton,51.0,39.5,9.5,7.8431372549019605,-6.329113924050633,-15.789473684210526
17,9/13/1993,9/15/1993,46,43,11,Bill Clinton,53.0,39.0,8.0,13.20754716981132,-10.256410256410255,-37.5
18,9/24/1993,9/26/1993,56,36,8,Bill Clinton,48.5,43.0,8.5,-15.463917525773196,16.27906976744186,5.88235294117647
19,10/8/1993,10/10/1993,50,42,8,Bill Clinton,47.5,44.5,8.0,-5.263157894736842,5.617977528089887,0.0
20,10/13/1993,10/18/1993,47,44,9,Bill Clinton,48.0,45.0,7.0,2.083333333333333,2.2222222222222223,-28.57142857142857
21,10/28/1993,10/30/1993,48,45,7,Bill Clinton,49.0,44.0,7.0,2.0408163265306123,-2.272727272727273,0.0
22,11/2/1993,11/4/1993,48,45,7,Bill Clinton,49.0,43.0,8.0,2.0408163265306123,-4.651162790697675,12.5
23,11/15/1993,11/16/1993,50,43,7,Bill Clinton,50.0,40.5,9.5,0.0,-6.172839506172839,26.31578947368421
24,11/19/1993,11/21/1993,48,43,9,Bill Clinton,53.0,39.0,8.0,9.433962264150944,-10.256410256410255,-12.5
25,12/4/1993,12/6/1993,52,38,10,Bill Clinton,54.0,39.0,7.0,3.7037037037037033,2.564102564102564,-42.857142857142854
26,12/17/1993,12/19/1993,54,40,6,Bill Clinton,54.0,38.0,8.0,0.0,-5.263157894736842,25.0
27,1/6/1994,1/8/1994,54,38,8,Bill Clinton,56.0,36.5,7.5,3.571428571428571,-4.10958904109589,-6.666666666666667
28,1/15/1994,1/17/1994,54,38,8,Bill Clinton,55.5,38.0,6.5,2.7027027027027026,0.0,-23.076923076923077
29,1/28/1994,1/30/1994,58,35,7,Bill Clinton,51.5,41.5,7.0,-12.62135922330097,15.66265060240964,0.0
30,2/26/1994,2/28/1994,53,41,6,Bill Clinton,50.0,41.5,8.5,-6.0,1.2048192771084338,29.411764705882355
31,3/7/1994,3/8/1994,50,42,8,Bill Clinton,51.0,41.0,8.0,1.9607843137254901,-2.4390243902439024,0.0
32,3/11/1994,3/13/1994,50,41,9,Bill Clinton,51.5,41.5,7.0,2.912621359223301,1.2048192771084338,-28.57142857142857
33,3/25/1994,3/27/1994,52,41,7,Bill Clinton,51.0,41.5,7.5,-1.9607843137254901,1.2048192771084338,6.666666666666667
34,3/28/1994,3/30/1994,51,42,7,Bill Clinton,49.5,42.5,8.0,-3.0303030303030303,1.1764705882352942,12.5
35,4/16/1994,4/18/1994,51,41,8,Bill Clinton,49.5,43.0,7.5,-3.0303030303030303,4.651162790697675,-6.666666666666667
36,4/22/1994,4/24/1994,48,44,8,Bill Clinton,48.5,44.5,7.0,1.0309278350515463,1.1235955056179776,-14.285714285714285
37,5/20/1994,5/22/1994,51,42,7,Bill Clinton,47.5,45.5,7.0,-7.368421052631578,7.6923076923076925,0.0
38,6/3/1994,6/6/1994,46,47,7,Bill Clinton,46.5,45.5,8.0,1.0752688172043012,-3.296703296703297,12.5
39,6/11/1994,6/12/1994,49,44,7,Bill Clinton,43.5,47.5,9.0,-12.643678160919542,7.368421052631578,22.22222222222222
40,6/25/1994,6/28/1994,44,47,9,Bill Clinton,42.5,48.5,9.0,-3.5294117647058822,3.0927835051546393,0.0
41,7/1/1994,7/3/1994,43,48,9,Bill Clinton,42.5,48.5,9.0,-1.1764705882352942,1.0309278350515463,0.0
42,7/15/1994,7/17/1994,42,49,9,Bill Clinton,41.0,50.0,9.0,-2.4390243902439024,2.0,0.0
43,8/8/1994,8/9/1994,43,48,9,Bill Clinton,39.0,53.0,8.0,-10.256410256410255,9.433962264150944,-12.5
44,8/15/1994,8/16/1994,39,52,9,Bill Clinton,40.5,52.0,7.5,3.7037037037037033,0.0,-20.0
45,9/6/1994,9/7/1994,39,54,7,Bill Clinton,42.5,50.5,7.0,8.235294117647058,-6.9306930693069315,0.0
46,9/16/1994,9/18/1994,42,50,8,Bill Clinton,42.5,51.5,6.0,1.1764705882352942,2.912621359223301,-33.33333333333333
47,9/23/1994,9/25/1994,43,51,6,Bill Clinton,41.5,52.0,6.5,-3.614457831325301,1.9230769230769231,7.6923076923076925
48,10/7/1994,10/9/1994,42,52,6,Bill Clinton,44.5,49.0,6.5,5.617977528089887,-6.122448979591836,7.6923076923076925
49,10/18/1994,10/19/1994,41,52,7,Bill Clinton,47.0,46.0,7.0,12.76595744680851,-13.043478260869565,0.0
50,10/22/1994,10/25/1994,48,46,6,Bill Clinton,44.5,47.5,8.0,-7.865168539325842,3.1578947368421053,25.0
51,11/2/1994,11/6/1994,46,46,8,Bill Clinton,42.5,49.5,8.0,-8.235294117647058,7.07070707070707,0.0
52,11/28/1994,11/29/1994,43,49,8,Bill Clinton,42.0,51.5,6.5,-2.380952380952381,4.854368932038835,-23.076923076923077
53,12/2/1994,12/5/1994,42,50,8,Bill Clinton,41.0,52.5,6.5,-2.4390243902439024,4.761904761904762,-23.076923076923077
54,12/16/1994,12/18/1994,42,53,5,Bill Clinton,43.5,48.5,8.0,3.4482758620689653,-9.278350515463918,37.5
55,12/28/1994,12/30/1994,40,52,8,Bill Clinton,48.0,44.5,7.5,16.666666666666664,-16.853932584269664,-6.666666666666667
56,1/16/1995,1/18/1995,47,45,8,Bill Clinton,45.5,46.0,8.5,-3.296703296703297,2.1739130434782608,5.88235294117647
57,2/3/1995,2/5/1995,49,44,7,Bill Clinton,44.0,46.5,9.5,-11.363636363636363,5.376344086021505,26.31578947368421
58,2/24/1995,2/26/1995,42,48,10,Bill Clinton,45.0,46.0,9.0,6.666666666666667,-4.3478260869565215,-11.11111111111111
59,3/17/1995,3/19/1995,46,45,9,Bill Clinton,45.5,46.0,8.5,-1.098901098901099,2.1739130434782608,-5.88235294117647
60,3/27/1995,3/29/1995,44,47,9,Bill Clinton,46.5,45.0,8.5,5.376344086021505,-4.444444444444445,-5.88235294117647
61,4/5/1995,4/6/1995,47,45,8,Bill Clinton,48.5,42.0,9.5,3.0927835051546393,-7.142857142857142,15.789473684210526
62,4/17/1995,4/19/1995,46,45,9,Bill Clinton,51.0,40.5,8.5,9.803921568627452,-11.11111111111111,-5.88235294117647
63,4/21/1995,4/24/1995,51,39,10,Bill Clinton,49.0,42.0,9.0,-4.081632653061225,7.142857142857142,-11.11111111111111
64,5/11/1995,5/14/1995,51,42,7,Bill Clinton,47.5,42.0,10.5,-7.368421052631578,0.0,33.33333333333333
65,6/5/1995,6/6/1995,47,42,11,Bill Clinton,47.0,43.0,10.0,0.0,2.3255813953488373,-10.0
66,7/7/1995,7/9/1995,48,42,10,Bill Clinton,46.0,43.0,11.0,-4.3478260869565215,2.3255813953488373,9.090909090909092
67,7/20/1995,7/23/1995,46,44,10,Bill Clinton,46.0,43.0,11.0,0.0,-2.3255813953488373,9.090909090909092
68,8/4/1995,8/7/1995,46,42,12,Bill Clinton,46.0,43.5,10.5,0.0,3.4482758620689653,-14.285714285714285
69,8/11/1995,8/14/1995,46,44,10,Bill Clinton,45.0,43.5,11.5,-2.2222222222222223,-1.1494252873563218,13.043478260869565
70,8/28/1995,8/30/1995,46,43,11,Bill Clinton,46.0,44.0,10.0,0.0,2.272727272727273,-10.0
71,9/14/1995,9/17/1995,44,44,12,Bill Clinton,47.0,43.0,10.0,6.382978723404255,-2.3255813953488373,-20.0
72,9/22/1995,9/24/1995,48,44,8,Bill Clinton,47.5,41.0,11.5,-1.0526315789473684,-7.317073170731707,30.434782608695656
73,10/5/1995,10/7/1995,46,42,12,Bill Clinton,50.5,40.5,9.0,8.91089108910891,-3.7037037037037033,-33.33333333333333
74,10/19/1995,10/22/1995,49,40,11,Bill Clinton,52.5,39.5,8.0,6.666666666666667,-1.2658227848101267,-37.5
75,11/6/1995,11/8/1995,52,41,7,Bill Clinton,52.0,41.0,7.0,0.0,0.0,0.0
76,11/17/1995,11/18/1995,53,38,9,Bill Clinton,46.5,46.5,7.0,-13.978494623655912,18.27956989247312,-28.57142857142857
77,12/15/1995,12/18/1995,51,44,5,Bill Clinton,44.0,48.0,8.0,-15.909090909090908,8.333333333333332,37.5
78,1/5/1996,1/7/1996,42,49,9,Bill Clinton,49.0,44.5,6.5,14.285714285714285,-10.112359550561797,-38.46153846153847
79,1/12/1996,1/15/1996,46,47,7,Bill Clinton,52.5,41.0,6.5,12.380952380952381,-14.634146341463413,-7.6923076923076925
80,1/26/1996,1/29/1996,52,42,6,Bill Clinton,53.5,38.5,8.0,2.803738317757009,-9.090909090909092,25.0
81,2/23/1996,2/25/1996,53,40,7,Bill Clinton,53.0,38.0,9.0,0.0,-5.263157894736842,22.22222222222222
82,3/8/1996,3/10/1996,54,37,9,Bill Clinton,53.0,39.5,7.5,-1.8867924528301887,6.329113924050633,-20.0
83,3/15/1996,3/17/1996,52,39,9,Bill Clinton,55.0,38.5,6.5,5.454545454545454,-1.2987012987012987,-38.46153846153847
84,4/9/1996,4/10/1996,54,40,6,Bill Clinton,55.5,38.0,6.5,2.7027027027027026,-5.263157894736842,7.6923076923076925
85,4/25/1996,4/28/1996,56,37,7,Bill Clinton,54.0,38.5,7.5,-3.7037037037037033,3.896103896103896,6.666666666666667
86,5/9/1996,5/12/1996,55,39,6,Bill Clinton,55.5,37.5,7.0,0.9009009009009009,-4.0,14.285714285714285
87,5/28/1996,5/29/1996,53,38,9,Bill Clinton,55.0,39.5,5.5,3.6363636363636362,3.79746835443038,-63.63636363636363
88,6/18/1996,6/19/1996,58,37,5,Bill Clinton,54.5,38.5,7.0,-6.422018348623854,3.896103896103896,28.57142857142857
89,6/27/1996,6/30/1996,52,42,6,Bill Clinton,57.5,35.0,7.5,9.565217391304348,-20.0,20.0
90,7/18/1996,7/21/1996,57,35,8,Bill Clinton,57.5,35.5,7.0,0.8695652173913043,1.4084507042253522,-14.285714285714285
91,7/25/1996,7/28/1996,58,35,7,Bill Clinton,54.5,37.5,8.0,-6.422018348623854,6.666666666666667,12.5
92,8/5/1996,8/7/1996,57,36,7,Bill Clinton,52.5,39.0,8.5,-8.571428571428571,7.6923076923076925,17.647058823529413
93,8/16/1996,8/18/1996,52,39,9,Bill Clinton,56.5,36.0,7.5,7.964601769911504,-8.333333333333332,-20.0
94,8/23/1996,8/25/1996,53,39,8,Bill Clinton,60.0,32.0,8.0,11.666666666666666,-21.875,0.0
95,8/30/1996,9/1/1996,60,33,7,Bill Clinton,59.0,32.5,8.5,-1.694915254237288,-1.5384615384615385,17.647058823529413
96,9/7/1996,9/9/1996,60,31,9,Bill Clinton,57.5,35.0,7.5,-4.3478260869565215,11.428571428571429,-20.0
97,10/1/1996,10/2/1996,58,34,8,Bill Clinton,55.5,36.0,8.5,-4.504504504504505,5.555555555555555,5.88235294117647
98,10/2/1996,10/3/1996,57,36,7,Bill Clinton,56.0,35.5,8.5,-1.7857142857142856,-1.4084507042253522,17.647058823529413
99,10/26/1996,10/29/1996,54,36,10,Bill Clinton,58.0,34.5,7.5,6.896551724137931,-4.3478260869565215,-33.33333333333333
100,11/21/1996,11/24/1996,58,35,7,Bill Clinton,58.0,34.5,7.5,0.0,-1.4492753623188406,6.666666666666667
101,12/9/1996,12/11/1996,58,34,8,Bill Clinton,60.0,33.0,7.0,3.3333333333333335,-3.0303030303030303,-14.285714285714285
102,1/3/1997,1/5/1997,58,35,7,Bill Clinton,61.0,31.0,8.0,4.918032786885246,-12.903225806451612,12.5
103,1/10/1997,1/13/1997,62,31,7,Bill Clinton,58.5,32.0,9.5,-5.982905982905983,3.125,26.31578947368421
104,1/30/1997,2/2/1997,60,31,9,Bill Clinton,58.0,34.0,8.0,-3.4482758620689653,8.823529411764707,-12.5
105,2/24/1997,2/26/1997,57,33,10,Bill Clinton,56.5,36.0,7.5,-0.8849557522123894,8.333333333333332,-33.33333333333333
106,3/24/1997,3/26/1997,59,35,6,Bill Clinton,55.5,36.0,8.5,-6.306306306306306,2.7777777777777777,29.411764705882355
107,4/18/1997,4/20/1997,54,37,9,Bill Clinton,57.0,35.0,8.0,5.263157894736842,-5.714285714285714,-12.5
108,5/6/1997,5/7/1997,57,35,8,Bill Clinton,56.0,35.5,8.5,-1.7857142857142856,1.4084507042253522,5.88235294117647
109,5/30/1997,6/1/1997,57,35,8,Bill Clinton,56.5,35.0,8.5,-0.8849557522123894,0.0,5.88235294117647
