,Start Date,End Date,Approving,Disapproving,Unsure/NoData,President,Approve_rolling,Disapprove_rolling,Unsure_rolling,Approve_change,Disapprove_change,Unsure_change
0,2/1/1953,2/5/1953,68,7,25,Dwight D. Eisenhower,70.5,8.0,21.5,3.546099290780142,12.5,-16.27906976744186
1,2/22/1953,2/27/1953,67,8,25,Dwight D. Eisenhower,73.5,9.0,17.5,8.843537414965986,11.11111111111111,-42.857142857142854
2,3/28/1953,4/2/1953,74,8,18,Dwight D. Eisenhower,73.5,10.0,16.5,-0.6802721088435374,20.0,-9.090909090909092
3,4/19/1953,4/24/1953,73,10,17,Dwight D. Eisenhower,71.5,12.5,16.0,-2.097902097902098,20.0,-6.25
4,5/9/1953,5/14/1953,74,10,16,Dwight D. Eisenhower,71.0,14.0,15.0,-4.225352112676056,28.57142857142857,-6.666666666666667
5,7/4/1953,7/9/1953,69,15,16,Dwight D. Eisenhower,73.5,13.5,13.0,6.122448979591836,-11.11111111111111,-23.076923076923077
6,7/25/1953,7/30/1953,73,13,14,Dwight D. Eisenhower,67.5,17.0,15.5,-8.148148148148149,23.52941176470588,9.67741935483871
7,8/15/1953,8/20/1953,74,14,12,Dwight D. Eisenhower,63.0,19.5,17.5,-17.46031746031746,28.205128205128204,31.428571428571427
8,9/12/1953,9/17/1953,61,20,19,Dwight D. Eisenhower,63.0,22.5,14.5,3.1746031746031744,11.11111111111111,-31.03448275862069
9,10/9/1953,10/14/1953,65,19,16,Dwight D. Eisenhower,60.0,25.5,14.5,-8.333333333333332,25.49019607843137,-10.344827586206897
10,11/1/1953,11/5/1953,61,26,13,Dwight D. Eisenhower,64.0,23.5,12.5,4.6875,-10.638297872340425,-4.0
11,11/19/1953,11/24/1953,59,25,16,Dwight D. Eisenhower,70.0,20.5,9.5,15.714285714285714,-21.951219512195124,-68.42105263157895
12,12/11/1953,12/16/1953,69,22,9,Dwight D. Eisenhower,70.5,18.0,11.5,2.127659574468085,-22.22222222222222,21.73913043478261
13,1/9/1954,1/14/1954,71,19,10,Dwight D. Eisenhower,68.5,19.0,12.5,-3.64963503649635,0.0,20.0
14,1/28/1954,2/2/1954,70,17,13,Dwight D. Eisenhower,66.5,21.5,12.0,-5.263157894736842,20.930232558139537,-8.333333333333332
15,2/25/1954,3/2/1954,67,21,12,Dwight D. Eisenhower,67.0,21.5,11.5,0.0,2.3255813953488373,-4.3478260869565215
16,3/19/1954,3/24/1954,66,22,12,Dwight D. Eisenhower,64.0,21.5,14.5,-3.125,-2.3255813953488373,17.24137931034483
17,4/8/1954,4/13/1954,68,21,11,Dwight D. Eisenhower,60.5,23.0,16.5,-12.396694214876034,8.695652173913043,33.33333333333333
18,5/2/1954,5/7/1954,60,22,18,Dwight D. Eisenhower,61.5,24.0,14.5,2.4390243902439024,8.333333333333332,-24.137931034482758
19,5/21/1954,5/26/1954,61,24,15,Dwight D. Eisenhower,63.5,22.5,14.0,3.937007874015748,-6.666666666666667,-7.142857142857142
20,6/12/1954,6/17/1954,62,24,14,Dwight D. Eisenhower,70.0,20.5,9.5,11.428571428571429,-17.073170731707318,-47.368421052631575
21,7/2/1954,7/7/1954,65,21,14,Dwight D. Eisenhower,71.0,19.5,9.5,8.450704225352112,-7.6923076923076925,-47.368421052631575
22,7/16/1954,7/21/1954,75,20,5,Dwight D. Eisenhower,65.0,21.5,13.5,-15.384615384615385,6.976744186046512,62.96296296296296
23,8/5/1954,8/10/1954,67,19,14,Dwight D. Eisenhower,64.5,22.5,13.0,-3.875968992248062,15.555555555555555,-7.6923076923076925
24,8/26/1954,8/31/1954,63,24,13,Dwight D. Eisenhower,63.5,23.5,13.0,0.7874015748031495,-2.127659574468085,0.0
25,9/16/1954,9/21/1954,66,21,13,Dwight D. Eisenhower,59.0,24.5,16.5,-11.864406779661017,14.285714285714285,21.21212121212121
26,10/15/1954,10/20/1954,61,26,13,Dwight D. Eisenhower,63.0,23.0,14.0,3.1746031746031744,-13.043478260869565,7.142857142857142
27,11/11/1954,11/16/1954,57,23,20,Dwight D. Eisenhower,69.5,20.5,10.0,17.985611510791365,-12.195121951219512,-100.0
28,12/2/1954,12/7/1954,69,23,8,Dwight D. Eisenhower,70.0,17.5,12.5,1.4285714285714286,-31.428571428571427,36.0
29,12/31/1954,1/5/1955,70,18,12,Dwight D. Eisenhower,71.5,16.0,12.5,2.097902097902098,-12.5,4.0
30,1/20/1955,1/25/1955,70,17,13,Dwight D. Eisenhower,72.0,16.0,12.0,2.7777777777777777,-6.25,-8.333333333333332
31,2/10/1955,2/15/1955,73,15,12,Dwight D. Eisenhower,68.5,19.0,12.5,-6.569343065693431,21.052631578947366,4.0
32,3/3/1955,3/8/1955,71,17,12,Dwight D. Eisenhower,68.0,17.5,14.5,-4.411764705882353,2.857142857142857,17.24137931034483
33,3/24/1955,3/29/1955,66,21,13,Dwight D. Eisenhower,69.0,15.0,16.0,4.3478260869565215,-40.0,18.75
34,4/14/1955,4/19/1955,70,14,16,Dwight D. Eisenhower,69.0,16.0,15.0,-1.4492753623188406,12.5,-6.666666666666667
35,5/12/1955,5/17/1955,68,16,16,Dwight D. Eisenhower,68.5,15.5,16.0,0.7299270072992701,-3.225806451612903,0.0
36,6/3/1955,6/8/1955,70,16,14,Dwight D. Eisenhower,69.5,16.5,14.0,-0.7194244604316548,3.0303030303030303,0.0
37,6/24/1955,6/29/1955,67,15,18,Dwight D. Eisenhower,74.0,14.5,11.5,9.45945945945946,-3.4482758620689653,-56.52173913043478
38,7/14/1955,7/19/1955,72,18,10,Dwight D. Eisenhower,73.5,13.5,13.0,2.0408163265306123,-33.33333333333333,23.076923076923077
39,8/4/1955,8/9/1955,76,11,13,Dwight D. Eisenhower,71.0,16.0,13.0,-7.042253521126761,31.25,0.0
