,Start Date,End Date,Approving,Disapproving,Unsure/NoData,President,Approve_rolling,Disapprove_rolling,Unsure_rolling,Approve_change,Disapprove_change,Unsure_change
0,12/5/1963,12/10/1963,78,2,20,Lyndon B. Johnson,75.5,4.5,20.0,-3.3112582781456954,55.55555555555556,0.0
1,12/12/1963,12/17/1963,74,4,22,Lyndon B. Johnson,76.5,6.5,17.0,3.2679738562091507,38.46153846153847,-29.411764705882355
2,1/2/1964,1/7/1964,77,5,18,Lyndon B. Johnson,74.5,8.5,17.0,-3.3557046979865772,41.17647058823529,-5.88235294117647
3,1/30/1964,2/5/1964,76,8,16,Lyndon B. Johnson,76.0,9.0,15.0,0.0,11.11111111111111,-6.666666666666667
4,2/13/1964,2/18/1964,73,9,18,Lyndon B. Johnson,78.0,9.0,13.0,6.41025641025641,0.0,-38.46153846153847
5,2/28/1964,3/4/1964,79,9,12,Lyndon B. Johnson,76.0,10.5,13.5,-3.9473684210526314,14.285714285714285,11.11111111111111
6,3/13/1964,3/18/1964,77,9,14,Lyndon B. Johnson,75.0,11.5,13.5,-2.666666666666667,21.73913043478261,-3.7037037037037033
7,3/27/1964,4/1/1964,75,12,13,Lyndon B. Johnson,75.0,10.5,14.5,0.0,-14.285714285714285,10.344827586206897
8,4/24/1964,4/29/1964,75,11,14,Lyndon B. Johnson,74.5,11.5,14.0,-0.6711409395973155,4.3478260869565215,0.0
9,5/6/1964,5/11/1964,75,10,15,Lyndon B. Johnson,74.0,12.5,13.5,-1.3513513513513513,20.0,-11.11111111111111
10,5/22/1964,5/27/1964,74,13,13,Lyndon B. Johnson,74.0,13.0,13.0,0.0,0.0,0.0
11,6/4/1964,6/9/1964,74,12,14,Lyndon B. Johnson,74.0,14.5,11.5,0.0,17.24137931034483,-21.73913043478261
12,6/11/1964,6/16/1964,74,14,12,Lyndon B. Johnson,72.0,17.0,11.0,-2.7777777777777777,17.647058823529413,-9.090909090909092
13,6/25/1964,6/30/1964,74,15,11,Lyndon B. Johnson,69.5,18.5,12.0,-6.474820143884892,18.91891891891892,8.333333333333332
