,Date,President,Approving,Disapproving,Unsure/NoData,Approve_change,Disapprove_change,Unsure_change,Polarity,Subjectivity,compound,Negative,Neutral,Positive
0,1945-10-27,Harry S. Truman,75,14,11,-33.92857143,53.33333333,21.42857143,0.13855510255510262,0.4335424995424993,0.9998,0.129,0.566,0.306
1,1947-03-12,Harry S. Truman,60,23,17,0.0,0.0,0.0,0.10608974358974359,0.3941961741961738,0.9994,0.146,0.587,0.268
2,1947-06-20,Harry S. Truman,55,31,14,5.172413793,-8.771929825,-3.703703704,0.1118653239415951,0.5174364712500303,0.9961,0.139,0.644,0.217
3,1947-06-29,Harry S. Truman,61,28,11,-11.9266055,9.677419355,24.13793103,0.19730913026367566,0.5001709464777647,0.9996,0.095,0.571,0.334
4,1951-04-11,Harry S. Truman,24,54,22,2.040816327,11.47540984,-51.72413793,0.13110795681147439,0.46670959414677965,0.9934,0.235,0.499,0.266
5,1952-03-29,Harry S. Truman,28,59,13,3.448275862,0.840336134,-13.04347826,0.1210291738564465,0.4966614688341962,0.9997,0.139,0.614,0.247
6,1953-01-20,Dwight D. Eisenhower,68,7,25,3.546099291,12.5,-16.27906977,0.14657486408939888,0.5345087083459172,0.9999,0.106,0.515,0.378
7,1953-04-16,Dwight D. Eisenhower,73,10,17,-2.097902098,20.0,-6.25,0.15873612602935905,0.49537168136792165,0.9999,0.148,0.495,0.358
8,1953-12-08,Dwight D. Eisenhower,69,22,9,2.127659574,-22.22222222,21.73913043,0.1250456574675325,0.48375214195526683,0.9999,0.122,0.56,0.318
9,1957-01-05,Dwight D. Eisenhower,73,14,13,-1.388888889,15.15151515,-13.04347826,0.13651653311227777,0.38027997809912684,0.9999,0.109,0.584,0.307
10,1961-01-30,John F. Kennedy,72,6,22,4.635761589,7.692307692,-22.22222222,0.09763385870780227,0.43449827754405235,0.9999,0.124,0.63,0.246
11,1961-02-21,John F. Kennedy,73,7,20,8.75,-27.27272727,-37.93103448,0.22637426900584795,0.48320523531049836,0.9996,0.009,0.59,0.401
12,1961-03-01,John F. Kennedy,73,7,20,8.75,-27.27272727,-37.93103448,0.15286960514233242,0.49410774410774416,0.9981,0.024,0.616,0.361
13,1961-03-13,John F. Kennedy,73,7,20,8.75,-27.27272727,-37.93103448,0.14488557558945908,0.39415943414729815,0.9999,0.083,0.603,0.314
14,1961-04-20,John F. Kennedy,82,5,13,-7.894736842,47.36842105,10.34482759,0.022071043363416247,0.43870331645755356,0.9958,0.169,0.599,0.232
15,1961-04-27,John F. Kennedy,82,5,13,-7.894736842,47.36842105,10.34482759,0.04514231601731603,0.4684126398293065,0.9865,0.169,0.629,0.202
16,1961-05-03,John F. Kennedy,77,9,14,-3.355704698,14.28571429,6.666666667,0.2008069136745608,0.5457569391392921,0.9962,0.056,0.693,0.251
17,1961-05-17,John F. Kennedy,75,10,15,-2.739726027,20.0,-3.448275862,0.11912744097241906,0.4426683081595742,0.9999,0.094,0.608,0.298
18,1961-05-25,John F. Kennedy,74,11,15,-0.680272109,15.38461538,-11.11111111,0.11396381222943715,0.43749238030488063,0.9999,0.114,0.627,0.259
