,Start Date,End Date,Approving,Disapproving,Unsure/NoData,Approve_rolling,Disapprove_rolling,Unsure_rolling,Approve_change,Disapprove_change,Unsure_change
0,1/23/1969,1/28/1969,59,5,36,62.5,7.5,30.0,5.6000000000000005,33.33333333333333,-20.0
1,2/20/1969,2/25/1969,60,6,34,64.0,9.5,26.5,6.25,36.84210526315789,-28.30188679245283
2,3/12/1969,3/17/1969,65,9,26,62.0,11.0,27.0,-4.838709677419355,18.181818181818183,3.7037037037037033
3,3/27/1969,4/1/1969,63,10,27,61.5,13.5,25.0,-2.4390243902439024,25.925925925925924,-8.0
4,4/10/1969,4/15/1969,61,12,27,63.5,13.5,23.0,3.937007874015748,11.11111111111111,-17.391304347826086
5,5/1/1969,5/6/1969,62,15,23,63.5,13.5,23.0,2.3622047244094486,-11.11111111111111,0.0
6,5/15/1969,5/20/1969,65,12,23,62.5,15.5,22.0,-4.0,22.58064516129032,-4.545454545454546
7,5/22/1969,5/27/1969,62,15,23,60.5,19.0,20.5,-2.479338842975207,21.052631578947366,-12.195121951219512
8,6/19/1969,6/24/1969,63,16,21,61.5,19.5,19.0,-2.4390243902439024,17.94871794871795,-10.526315789473683
9,7/10/1969,7/15/1969,58,22,20,63.5,18.5,18.0,8.661417322834646,-18.91891891891892,-11.11111111111111
10,7/24/1969,7/29/1969,65,17,18,61.0,22.0,17.0,-6.557377049180328,22.727272727272727,-5.88235294117647
11,8/14/1969,8/19/1969,62,20,18,59.0,23.5,17.5,-5.084745762711865,14.893617021276595,-2.857142857142857
12,9/11/1969,9/16/1969,60,24,16,57.5,23.5,19.0,-4.3478260869565215,-2.127659574468085,15.789473684210526
13,9/17/1969,9/22/1969,58,23,19,56.5,26.5,17.0,-2.6548672566371683,13.20754716981132,-11.76470588235294
14,10/2/1969,10/7/1969,57,24,19,61.5,24.0,14.5,7.317073170731707,0.0,-31.03448275862069
15,10/17/1969,10/22/1969,56,29,15,63.0,21.0,16.0,11.11111111111111,-38.095238095238095,6.25
16,11/12/1969,11/17/1969,67,19,14,60.0,22.5,17.5,-11.666666666666666,15.555555555555555,20.0
17,12/12/1969,12/15/1969,59,23,18,62.0,22.5,15.5,4.838709677419355,-2.2222222222222223,-16.129032258064516
18,1/2/1970,1/5/1970,61,22,17,63.5,23.5,13.0,3.937007874015748,6.382978723404255,-30.76923076923077
19,1/15/1970,1/20/1970,63,23,14,60.0,25.5,14.5,-5.0,9.803921568627452,3.4482758620689653
20,1/30/1970,2/2/1970,64,24,12,55.0,30.5,14.5,-16.363636363636363,21.311475409836063,17.24137931034483
21,2/27/1970,3/2/1970,56,27,17,55.0,32.5,12.5,-1.8181818181818181,16.923076923076923,-36.0
22,3/18/1970,3/25/1970,54,34,12,56.5,31.5,12.0,4.424778761061947,-7.936507936507936,0.0
23,4/16/1970,4/21/1970,56,31,13,58.0,30.5,11.5,3.4482758620689653,-1.639344262295082,-13.043478260869565
24,4/29/1970,5/3/1970,57,32,11,57.0,30.0,13.0,0.0,-6.666666666666667,15.384615384615385
25,5/21/1970,5/26/1970,59,29,12,58.0,29.5,12.5,-1.7241379310344827,1.694915254237288,4.0
26,6/18/1970,6/23/1970,55,31,14,58.0,30.0,12.0,5.172413793103448,-3.3333333333333335,-16.666666666666664
27,7/9/1970,7/14/1970,61,28,11,55.0,31.5,13.5,-10.909090909090908,11.11111111111111,18.51851851851852
28,7/31/1970,8/2/1970,55,32,13,56.0,30.5,13.5,1.7857142857142856,-4.918032786885246,3.7037037037037033
29,8/25/1970,9/1/1970,55,31,14,54.0,30.5,15.5,-1.8518518518518516,-1.639344262295082,9.67741935483871
30,9/11/1970,9/14/1970,57,30,13,54.5,29.0,16.5,-4.587155963302752,-3.4482758620689653,21.21212121212121
31,9/25/1970,9/28/1970,51,31,18,57.5,28.5,14.0,11.304347826086957,-8.771929824561402,-28.57142857142857
32,10/9/1970,10/14/1970,58,27,15,54.5,32.0,13.5,-6.422018348623854,15.625,-11.11111111111111
33,11/12/1970,11/17/1970,57,30,13,54.0,33.5,12.5,-5.555555555555555,10.44776119402985,-4.0
34,12/3/1970,12/8/1970,52,34,14,52.5,35.0,12.5,0.9523809523809524,2.857142857142857,-12.0
35,1/8/1971,1/11/1971,56,33,11,49.5,37.0,13.5,-13.131313131313133,10.81081081081081,18.51851851851852
36,2/19/1971,2/22/1971,49,37,14,49.5,37.5,13.0,1.0101010101010102,1.3333333333333335,-7.6923076923076925
37,3/11/1971,3/14/1971,50,37,13,49.5,38.0,12.5,-1.0101010101010102,2.631578947368421,-4.0
38,4/2/1971,4/5/1971,49,38,13,50.0,36.5,13.5,2.0,-4.10958904109589,3.7037037037037033
