,Start Date,End Date,Approving,Disapproving,Unsure/NoData,President,Approve_rolling,Disapprove_rolling,Unsure_rolling,Approve_change,Disapprove_change,Unsure_change
0,1/30/1981,2/2/1981,51,13,36,Ronald Reagan,57.5,21.0,21.5,11.304347826086957,38.095238095238095,-67.44186046511628
1,2/13/1981,2/16/1981,55,18,27,Ronald Reagan,63.5,21.0,15.5,13.385826771653544,14.285714285714285,-74.19354838709677
2,3/13/1981,3/16/1981,60,24,16,Ronald Reagan,67.0,18.5,14.5,10.44776119402985,-29.72972972972973,-10.344827586206897
3,4/3/1981,4/6/1981,67,18,15,Ronald Reagan,67.5,20.0,12.5,0.7407407407407408,10.0,-20.0
4,4/10/1981,4/13/1981,67,19,14,Ronald Reagan,63.5,24.5,12.0,-5.511811023622047,22.448979591836736,-16.666666666666664
5,5/8/1981,5/11/1981,68,21,11,Ronald Reagan,59.0,28.5,12.5,-15.254237288135593,26.31578947368421,12.0
6,6/5/1981,6/8/1981,59,28,13,Ronald Reagan,58.5,29.5,12.0,-0.8547008547008548,5.084745762711865,-8.333333333333332
7,6/19/1981,6/22/1981,59,29,12,Ronald Reagan,59.0,29.5,11.5,0.0,1.694915254237288,-4.3478260869565215
8,6/26/1981,6/29/1981,58,30,12,Ronald Reagan,58.0,29.5,12.5,0.0,-1.694915254237288,4.0
9,7/17/1981,7/20/1981,60,29,11,Ronald Reagan,58.0,29.0,13.0,-3.4482758620689653,0.0,15.384615384615385
10,7/24/1981,7/27/1981,56,30,14,Ronald Reagan,60.0,28.5,11.5,6.666666666666667,-5.263157894736842,-21.73913043478261
11,7/31/1981,8/3/1981,60,28,12,Ronald Reagan,56.0,33.0,11.0,-7.142857142857142,15.151515151515152,-9.090909090909092
12,8/14/1981,8/17/1981,60,29,11,Ronald Reagan,54.0,36.0,10.0,-11.11111111111111,19.444444444444446,-10.0
13,9/18/1981,9/21/1981,52,37,11,Ronald Reagan,54.5,35.0,10.5,4.587155963302752,-5.714285714285714,-4.761904761904762
14,10/2/1981,10/5/1981,56,35,9,Ronald Reagan,51.0,37.5,11.5,-9.803921568627452,6.666666666666667,21.73913043478261
15,10/30/1981,11/2/1981,53,35,12,Ronald Reagan,51.5,38.5,10.0,-2.912621359223301,9.090909090909092,-20.0
16,11/13/1981,11/16/1981,49,40,11,Ronald Reagan,51.5,39.0,9.5,4.854368932038835,-2.564102564102564,-15.789473684210526
17,11/20/1981,11/23/1981,54,37,9,Ronald Reagan,49.0,40.5,10.5,-10.204081632653061,8.641975308641975,14.285714285714285
18,12/11/1981,12/14/1981,49,41,10,Ronald Reagan,48.0,41.0,11.0,-2.083333333333333,0.0,9.090909090909092
19,1/8/1982,1/11/1982,49,40,11,Ronald Reagan,47.0,42.5,10.5,-4.25531914893617,5.88235294117647,-4.761904761904762
20,1/22/1982,1/25/1982,47,42,11,Ronald Reagan,46.5,44.0,9.5,-1.0752688172043012,4.545454545454546,-15.789473684210526
21,2/5/1982,2/8/1982,47,43,10,Ronald Reagan,45.5,45.5,9.0,-3.296703296703297,5.4945054945054945,-11.11111111111111
22,3/12/1982,3/15/1982,46,45,9,Ronald Reagan,44.0,46.5,9.5,-4.545454545454546,3.225806451612903,5.263157894736842
23,4/2/1982,4/5/1982,45,46,9,Ronald Reagan,43.5,46.5,10.0,-3.4482758620689653,1.0752688172043012,10.0
24,4/23/1982,4/26/1982,43,47,10,Ronald Reagan,44.5,45.0,10.5,3.3707865168539324,-4.444444444444445,4.761904761904762
25,4/30/1982,5/3/1982,44,46,10,Ronald Reagan,45.0,44.5,10.5,2.2222222222222223,-3.3707865168539324,4.761904761904762
26,5/14/1982,5/17/1982,45,44,11,Ronald Reagan,44.5,45.5,10.0,-1.1235955056179776,3.296703296703297,-10.0
27,6/11/1982,6/14/1982,45,45,10,Ronald Reagan,43.0,46.0,11.0,-4.651162790697675,2.1739130434782608,9.090909090909092
28,6/25/1982,6/28/1982,44,46,10,Ronald Reagan,41.5,46.5,12.0,-6.024096385542169,1.0752688172043012,16.666666666666664
29,7/23/1982,7/26/1982,42,46,12,Ronald Reagan,41.0,48.0,11.0,-2.4390243902439024,4.166666666666666,-9.090909090909092
30,7/30/1982,8/2/1982,41,47,12,Ronald Reagan,41.5,47.5,11.0,1.2048192771084338,1.0526315789473684,-9.090909090909092
31,8/13/1982,8/16/1982,41,49,10,Ronald Reagan,42.0,47.0,11.0,2.380952380952381,-4.25531914893617,9.090909090909092
32,8/27/1982,8/30/1982,42,46,12,Ronald Reagan,42.0,48.0,10.0,0.0,4.166666666666666,-20.0
33,9/17/1982,9/20/1982,42,48,10,Ronald Reagan,42.5,47.5,10.0,1.1764705882352942,-1.0526315789473684,0.0
34,10/15/1982,10/18/1982,42,48,10,Ronald Reagan,43.0,47.0,10.0,2.3255813953488373,-2.127659574468085,0.0
35,11/5/1982,11/8/1982,43,47,10,Ronald Reagan,42.0,48.5,9.5,-2.380952380952381,3.0927835051546393,-5.263157894736842
36,11/19/1982,11/22/1982,43,47,10,Ronald Reagan,39.0,52.0,9.0,-10.256410256410255,9.615384615384617,-11.11111111111111
37,12/10/1982,12/13/1982,41,50,9,Ronald Reagan,37.0,53.5,9.5,-10.81081081081081,6.5420560747663545,5.263157894736842
38,1/14/1983,1/17/1983,37,54,9,Ronald Reagan,36.0,54.5,9.5,-2.7777777777777777,0.9174311926605505,5.263157894736842
39,1/21/1983,1/24/1983,37,53,10,Ronald Reagan,37.5,53.0,9.5,1.3333333333333335,0.0,-5.263157894736842
40,1/28/1983,1/31/1983,35,56,9,Ronald Reagan,40.5,49.5,10.0,13.580246913580247,-13.131313131313133,10.0
41,2/25/1983,2/28/1983,40,50,10,Ronald Reagan,41.0,49.0,10.0,2.4390243902439024,-2.0408163265306123,0.0
42,3/11/1983,3/14/1983,41,49,10,Ronald Reagan,42.0,47.5,10.5,2.380952380952381,-3.1578947368421053,4.761904761904762
43,4/15/1983,4/18/1983,41,49,10,Ronald Reagan,43.0,45.5,11.5,4.651162790697675,-7.6923076923076925,13.043478260869565
44,4/29/1983,5/2/1983,43,46,11,Ronald Reagan,44.5,44.0,11.5,3.3707865168539324,-4.545454545454546,4.3478260869565215
45,5/13/1983,5/16/1983,43,45,12,Ronald Reagan,44.5,44.0,11.5,3.3707865168539324,-2.272727272727273,-4.3478260869565215
46,5/20/1983,5/23/1983,46,43,11,Ronald Reagan,45.0,44.5,10.5,-2.2222222222222223,3.3707865168539324,-4.761904761904762
47,6/10/1983,6/13/1983,43,45,12,Ronald Reagan,44.5,45.5,10.0,3.3707865168539324,1.098901098901099,-20.0
48,6/24/1983,6/27/1983,47,44,9,Ronald Reagan,43.0,44.5,12.5,-9.30232558139535,1.1235955056179776,28.000000000000004
49,7/22/1983,7/25/1983,42,47,11,Ronald Reagan,44.0,44.0,12.0,4.545454545454546,-6.8181818181818175,8.333333333333332
50,7/29/1983,8/1/1983,44,42,14,Ronald Reagan,43.5,45.5,11.0,-1.1494252873563218,7.6923076923076925,-27.27272727272727
51,8/5/1983,8/8/1983,44,46,10,Ronald Reagan,43.0,45.5,11.5,-2.3255813953488373,-1.098901098901099,13.043478260869565
52,8/12/1983,8/15/1983,43,45,12,Ronald Reagan,45.0,44.0,11.0,4.444444444444445,-2.272727272727273,-9.090909090909092
53,8/19/1983,8/22/1983,43,46,11,Ronald Reagan,47.0,42.5,10.5,8.51063829787234,-8.235294117647058,-4.761904761904762
54,9/9/1983,9/12/1983,47,42,11,Ronald Reagan,46.0,43.5,10.5,-2.1739130434782608,3.4482758620689653,-4.761904761904762
55,9/16/1983,9/19/1983,47,43,10,Ronald Reagan,47.0,42.5,10.5,0.0,-1.1764705882352942,4.761904761904762
56,10/7/1983,10/10/1983,45,44,11,Ronald Reagan,51.0,39.0,10.0,11.76470588235294,-12.82051282051282,-10.0
57,10/21/1983,10/24/1983,49,41,10,Ronald Reagan,53.5,37.5,9.0,8.411214953271028,-9.333333333333334,-11.11111111111111
58,11/18/1983,11/21/1983,53,37,10,Ronald Reagan,53.0,38.0,9.0,0.0,2.631578947368421,-11.11111111111111
59,12/9/1983,12/12/1983,54,38,8,Ronald Reagan,53.5,37.5,9.0,-0.9345794392523363,-1.3333333333333335,11.11111111111111
60,1/13/1984,1/16/1984,52,38,10,Ronald Reagan,55.0,36.5,8.5,5.454545454545454,-4.10958904109589,-17.647058823529413
61,1/27/1984,1/30/1984,55,37,8,Ronald Reagan,54.5,37.5,8.0,-0.9174311926605505,1.3333333333333335,0.0
62,2/10/1984,2/13/1984,55,36,9,Ronald Reagan,54.0,37.5,8.5,-1.8518518518518516,4.0,-5.88235294117647
63,3/16/1984,3/19/1984,54,39,7,Ronald Reagan,53.0,36.5,10.5,-1.8867924528301887,-6.8493150684931505,33.33333333333333
64,4/6/1984,4/9/1984,54,36,10,Ronald Reagan,53.0,37.5,9.5,-1.8867924528301887,4.0,-5.263157894736842
65,5/3/1984,5/5/1984,52,37,11,Ronald Reagan,54.5,35.5,10.0,4.587155963302752,-4.225352112676056,-10.0
66,5/18/1984,5/21/1984,54,38,8,Ronald Reagan,54.5,34.5,11.0,0.9174311926605505,-10.144927536231885,27.27272727272727
