,Start Date,End Date,Approving,Disapproving,Unsure/NoData,Approve_rolling,Disapprove_rolling,Unsure_rolling,Approve_change,Disapprove_change,Unsure_change
0,6/1/1945,6/5/1945,87,3,10,78.5,11.5,10.0,-10.828025477707007,73.91304347826086,0.0
1,10/5/1945,10/10/1945,82,9,9,69.0,18.0,13.0,-18.84057971014493,50.0,30.76923076923077
2,11/2/1945,11/7/1945,75,14,11,56.0,30.0,14.0,-33.92857142857143,53.333333333333336,21.428571428571427
3,1/5/1946,1/10/1946,63,22,15,50.0,35.5,14.5,-26.0,38.028169014084504,-3.4482758620689653
4,2/28/1946,3/5/1946,49,38,13,48.0,37.5,14.5,-2.083333333333333,-1.3333333333333335,10.344827586206897
5,3/29/1946,4/3/1946,51,33,16,44.0,43.5,12.5,-15.909090909090908,24.137931034482758,-28.000000000000004
6,6/1/1946,6/6/1946,45,42,13,38.0,48.5,13.5,-18.421052631578945,13.402061855670103,3.7037037037037033
7,6/14/1946,6/19/1946,43,45,12,33.5,52.5,14.0,-28.35820895522388,14.285714285714285,14.285714285714285
8,9/13/1946,9/18/1946,33,52,15,34.5,50.0,15.5,4.3478260869565215,-4.0,3.225806451612903
9,11/15/1946,11/21/1946,34,53,13,41.5,43.0,15.5,18.072289156626507,-23.25581395348837,16.129032258064516
10,12/13/1946,12/18/1946,35,47,18,54.0,31.0,15.0,35.18518518518518,-51.61290322580645,-20.0
11,1/17/1947,1/22/1947,48,39,13,61.5,22.0,16.5,21.951219512195124,-77.27272727272727,21.21212121212121
12,3/14/1947,3/19/1947,60,23,17,60.0,23.0,17.0,0.0,0.0,0.0
13,3/28/1947,4/2/1947,63,21,16,61.0,24.5,14.5,-3.278688524590164,14.285714285714285,-10.344827586206897
14,4/25/1947,4/30/1947,57,25,18,60.0,27.5,12.5,5.0,9.090909090909092,-44.0
15,5/23/1947,5/28/1947,65,24,11,58.0,29.5,12.5,-12.068965517241379,18.64406779661017,12.0
16,6/20/1947,6/25/1947,55,31,14,58.0,28.5,13.5,5.172413793103448,-8.771929824561402,-3.7037037037037033
17,7/4/1947,7/9/1947,61,28,11,54.5,31.0,14.5,-11.926605504587156,9.67741935483871,24.137931034482758
18,9/12/1947,9/17/1947,55,29,16,53.5,32.5,14.0,-2.803738317757009,10.76923076923077,-14.285714285714285
19,11/28/1947,12/2/1947,54,33,13,44.5,41.0,14.5,-21.34831460674157,19.51219512195122,10.344827586206897
20,1/2/1948,1/7/1948,53,32,15,37.5,48.5,14.0,-41.333333333333336,34.02061855670103,-7.142857142857142
21,4/9/1948,4/14/1948,36,50,14,39.5,45.5,15.0,8.860759493670885,-9.89010989010989,6.666666666666667
22,5/28/1948,6/2/1948,39,47,14,54.5,30.5,15.0,28.440366972477065,-54.09836065573771,6.666666666666667
23,6/18/1948,6/24/1948,40,44,16,63.0,20.5,16.5,36.507936507936506,-114.6341463414634,3.0303030303030303
24,1/7/1949,1/12/1949,69,17,14,54.0,28.0,18.0,-27.77777777777778,39.285714285714285,22.22222222222222
25,3/6/1949,3/11/1949,57,24,19,54.0,29.5,16.5,-5.555555555555555,18.64406779661017,-15.151515151515152
26,5/2/1949,5/8/1949,51,32,17,51.0,32.5,16.5,0.0,1.5384615384615385,-3.0303030303030303
27,6/11/1949,6/17/1949,57,27,16,48.0,34.5,17.5,-18.75,21.73913043478261,8.571428571428571
28,9/3/1949,9/8/1949,45,38,17,50.5,33.0,16.5,10.891089108910892,-15.151515151515152,-3.0303030303030303
29,9/25/1949,9/30/1949,51,31,18,47.5,37.5,15.0,-7.368421052631578,17.333333333333336,-20.0
30,9/28/1949,10/2/1949,50,35,15,41.0,42.0,17.0,-21.951219512195124,16.666666666666664,11.76470588235294
31,1/8/1950,1/13/1950,45,40,15,39.0,41.0,20.0,-15.384615384615385,2.4390243902439024,25.0
32,2/26/1950,3/3/1950,37,44,19,39.0,42.5,18.5,5.128205128205128,-3.5294117647058822,-2.7027027027027026
33,5/4/1950,5/9/1950,41,38,21,41.5,43.5,15.0,1.2048192771084338,12.643678160919542,-40.0
34,6/4/1950,6/9/1950,37,47,16,42.5,42.5,15.0,12.941176470588237,-10.588235294117647,-6.666666666666667
35,7/9/1950,7/14/1950,46,40,14,41.0,38.5,20.5,-12.195121951219512,-3.896103896103896,31.70731707317073
36,7/30/1950,8/4/1950,39,45,16,39.0,39.5,21.5,0.0,-13.924050632911392,25.581395348837212
37,8/20/1950,8/25/1950,43,32,25,35.0,48.5,16.5,-22.857142857142858,34.02061855670103,-51.515151515151516
38,9/17/1950,9/22/1950,35,47,18,39.0,43.0,18.0,10.256410256410255,-9.30232558139535,0.0
39,10/1/1950,10/6/1950,35,50,15,42.0,41.0,17.0,16.666666666666664,-21.951219512195124,11.76470588235294
40,10/8/1950,10/13/1950,43,36,21,40.0,46.0,14.0,-7.5,21.73913043478261,-50.0
41,10/20/1950,10/25/1950,41,46,13,36.0,49.5,14.5,-13.88888888888889,7.07070707070707,10.344827586206897
42,10/22/1950,10/27/1950,39,46,15,34.5,51.0,14.5,-13.043478260869565,9.803921568627452,-3.4482758620689653
43,12/3/1950,12/8/1950,33,53,14,31.0,54.5,14.5,-6.451612903225806,2.7522935779816518,3.4482758620689653
44,1/1/1951,1/5/1951,36,49,15,26.5,59.5,14.0,-35.84905660377358,17.647058823529413,-7.142857142857142
45,2/4/1951,2/9/1951,26,60,14,27.5,58.0,14.5,5.454545454545454,-3.4482758620689653,3.4482758620689653
46,3/4/1951,3/9/1951,27,59,14,26.0,55.5,18.5,-3.8461538461538463,-6.306306306306306,24.324324324324326
47,3/26/1951,3/31/1951,28,57,15,24.0,58.5,17.5,-16.666666666666664,2.564102564102564,14.285714285714285
48,4/16/1951,4/21/1951,24,54,22,24.5,61.0,14.5,2.0408163265306123,11.475409836065573,-51.724137931034484
49,5/19/1951,5/24/1951,24,63,13,27.0,56.5,16.5,11.11111111111111,-11.504424778761061,21.21212121212121
50,6/16/1951,6/21/1951,25,59,16,30.0,55.5,14.5,16.666666666666664,-6.306306306306306,-10.344827586206897
51,7/8/1951,7/13/1951,29,54,17,31.5,55.5,13.0,7.936507936507936,2.7027027027027026,-30.76923076923077
52,8/3/1951,8/8/1951,31,57,12,30.5,54.5,15.0,-1.639344262295082,-4.587155963302752,20.0
53,9/21/1951,9/26/1951,32,54,14,26.0,58.0,16.0,-23.076923076923077,6.896551724137931,12.5
54,10/14/1951,10/19/1951,29,55,16,23.0,64.0,13.0,-26.08695652173913,14.0625,-23.076923076923077
55,11/11/1951,11/16/1951,23,61,16,24.0,64.5,11.5,4.166666666666666,5.426356589147287,-39.130434782608695
56,1/6/1952,1/11/1952,23,67,10,23.5,63.0,13.5,2.127659574468085,-6.349206349206349,25.925925925925924
57,1/20/1952,1/25/1952,25,62,13,25.0,61.5,13.5,0.0,-0.8130081300813009,3.7037037037037033
58,2/9/1952,2/14/1952,22,64,14,27.5,59.5,13.0,20.0,-7.563025210084033,-7.6923076923076925
59,4/13/1952,4/18/1952,28,59,13,29.0,59.5,11.5,3.4482758620689653,0.8403361344537815,-13.043478260869565
60,5/11/1952,5/16/1952,27,60,13,31.5,58.5,10.0,14.285714285714285,-2.564102564102564,-30.0
61,5/30/1952,6/4/1952,31,59,10,30.5,58.5,11.0,-1.639344262295082,-0.8547008547008548,9.090909090909092
62,6/15/1952,6/20/1952,32,58,10,31.0,57.0,12.0,-3.225806451612903,-1.7543859649122806,16.666666666666664
63,7/13/1952,7/18/1952,29,59,12,32.0,56.0,12.0,9.375,-5.357142857142857,0.0
64,10/3/1952,10/8/1952,33,55,12,31.5,56.0,12.5,-4.761904761904762,1.7857142857142856,4.0
65,10/5/1952,10/10/1952,31,57,12,32.0,55.5,12.5,3.125,-2.7027027027027026,4.0
66,10/9/1952,10/14/1952,32,55,13,,,,,,
67,12/11/1952,12/16/1952,32,56,12,,,,,,
