Start Date,End Date,Approving,Disapproving,Unsure/NoData,,,
1/24/1989,1/26/1989,51,6,43,0,0,0
2/28/1989,3/2/1989,63,13,24,0.19047619,0.538461538,-0.791666667
3/10/1989,3/13/1989,56,16,28,-0.125,0.1875,0.142857143
4/10/1989,4/16/1989,58,16,26,0.034482759,0,-0.076923077
5/4/1989,5/7/1989,56,22,22,-0.035714286,0.272727273,-0.181818182
5/15/1989,5/18/1989,63,18,19,0.111111111,-0.222222222,-0.157894737
6/8/1989,6/11/1989,70,14,16,0.1,-0.285714286,-0.1875
7/6/1989,7/9/1989,66,19,15,-0.060606061,0.263157895,-0.066666667
8/10/1989,8/13/1989,69,19,12,0.043478261,0,-0.25
9/7/1989,9/10/1989,70,17,13,0.014285714,-0.117647059,0.076923077
10/5/1989,10/8/1989,68,20,12,-0.029411765,0.15,-0.083333333
11/2/1989,11/5/1989,70,17,13,0.028571429,-0.176470588,0.076923077
12/7/1989,12/10/1989,71,20,9,0.014084507,0.15,-0.444444444
1/4/1990,1/7/1990,80,11,9,0.1125,-0.818181818,0
2/8/1990,2/11/1990,73,16,11,-0.095890411,0.3125,0.181818182
2/15/1990,2/18/1990,73,16,11,0,0,0
3/8/1990,3/11/1990,68,18,14,-0.073529412,0.111111111,0.214285714
3/15/1990,3/18/1990,74,15,11,0.081081081,-0.2,-0.272727273
4/5/1990,4/8/1990,68,16,16,-0.088235294,0.0625,0.3125
4/19/1990,4/22/1990,67,17,16,-0.014925373,0.058823529,0
5/17/1990,5/20/1990,65,20,15,-0.030769231,0.15,-0.066666667
6/7/1990,6/10/1990,67,18,15,0.029850746,-0.111111111,0
6/15/1990,6/17/1990,69,17,14,0.028985507,-0.058823529,-0.071428571
7/6/1990,7/8/1990,63,24,13,-0.095238095,0.291666667,-0.076923077
7/19/1990,7/22/1990,60,25,15,-0.05,0.04,0.133333333
8/9/1990,8/12/1990,74,16,10,0.189189189,-0.5625,-0.5
8/16/1990,8/19/1990,75,16,9,0.013333333,0,-0.111111111
8/23/1990,8/26/1990,76,16,8,0.013157895,0,-0.125
8/30/1990,9/2/1990,74,17,9,-0.027027027,0.058823529,0.111111111
9/10/1990,9/11/1990,76,16,8,0.026315789,-0.0625,-0.125
9/14/1990,9/16/1990,73,17,10,-0.04109589,0.058823529,0.2
9/27/1990,9/30/1990,67,20,13,-0.089552239,0.15,0.230769231
10/3/1990,10/4/1990,66,25,9,-0.015151515,0.2,-0.444444444
10/11/1990,10/14/1990,56,33,11,-0.178571429,0.242424242,0.181818182
10/18/1990,10/21/1990,53,37,10,-0.056603774,0.108108108,-0.1
10/25/1990,10/28/1990,54,36,10,0.018518519,-0.027777778,0
11/1/1990,11/4/1990,58,32,10,0.068965517,-0.125,0
11/8/1990,11/11/1990,58,34,8,0,0.058823529,-0.25
11/15/1990,11/18/1990,54,33,13,-0.074074074,-0.03030303,0.384615385
11/29/1990,12/2/1990,61,29,10,0.114754098,-0.137931034,-0.3
12/6/1990,12/9/1990,58,33,9,-0.051724138,0.121212121,-0.111111111
12/13/1990,12/16/1990,63,30,7,0.079365079,-0.1,-0.285714286
1/3/1991,1/6/1991,58,31,11,-0.086206897,0.032258065,0.363636364
1/11/1991,1/13/1991,64,25,11,0.09375,-0.24,0
1/17/1991,1/20/1991,82,12,6,0.219512195,-1.083333333,-0.833333333
1/19/1991,1/22/1991,80,14,6,-0.025,0.142857143,0
1/23/1991,1/26/1991,83,13,4,0.036144578,-0.076923077,-0.5
1/30/1991,2/2/1991,82,15,3,-0.012195122,0.133333333,-0.333333333
2/7/1991,2/10/1991,79,18,3,-0.037974684,0.166666667,0
2/14/1991,2/17/1991,80,14,6,0.0125,-0.285714286,0.5
2/21/1991,2/24/1991,80,13,7,0,-0.076923077,0.142857143
2/28/1991,3/3/1991,89,8,3,0.101123596,-0.625,-1.333333333
3/7/1991,3/10/1991,87,8,5,-0.022988506,0,0.4
3/14/1991,3/17/1991,86,9,5,-0.011627907,0.111111111,0
3/21/1991,3/24/1991,84,10,6,-0.023809524,0.1,0.166666667
3/28/1991,3/30/1991,82,11,7,-0.024390244,0.090909091,0.142857143
4/4/1991,4/6/1991,83,12,5,0.012048193,0.083333333,-0.4
4/11/1991,4/14/1991,77,13,10,-0.077922078,0.076923077,0.5
4/25/1991,4/28/1991,76,15,9,-0.013157895,0.133333333,-0.111111111
5/2/1991,5/5/1991,74,19,7,-0.027027027,0.210526316,-0.285714286
5/16/1991,5/19/1991,77,15,8,0.038961039,-0.266666667,0.125
5/23/1991,5/26/1991,76,16,8,-0.013157895,0.0625,0
5/30/1991,6/2/1991,74,17,9,-0.027027027,0.058823529,0.111111111
6/13/1991,6/16/1991,71,19,10,-0.042253521,0.105263158,0.1
6/27/1991,6/30/1991,72,23,5,0.013888889,0.173913043,-1
7/11/1991,7/14/1991,72,21,7,0,-0.095238095,0.285714286
7/18/1991,7/21/1991,70,21,9,-0.028571429,0,0.222222222
7/25/1991,7/28/1991,71,21,8,0.014084507,0,-0.125
8/8/1991,8/11/1991,71,22,7,0,0.045454545,-0.142857143
8/23/1991,8/25/1991,74,19,7,0.040540541,-0.157894737,0
8/29/1991,9/3/1991,69,22,9,-0.072463768,0.136363636,0.222222222
9/5/1991,9/8/1991,70,21,9,0.014285714,-0.047619048,0
9/13/1991,9/15/1991,68,22,10,-0.029411765,0.045454545,0.1
9/26/1991,9/29/1991,66,25,9,-0.03030303,0.12,-0.111111111
10/3/1991,10/6/1991,65,27,8,-0.015384615,0.074074074,-0.125
10/10/1991,10/13/1991,66,28,6,0.015151515,0.035714286,-0.333333333
10/17/1991,10/20/1991,66,26,8,0,-0.076923077,0.25
10/24/1991,10/27/1991,62,29,9,-0.064516129,0.103448276,0.111111111
10/31/1991,11/3/1991,59,33,8,-0.050847458,0.121212121,-0.125
11/7/1991,11/10/1991,56,36,8,-0.053571429,0.083333333,0
11/14/1991,11/17/1991,56,36,8,0,0,0
11/21/1991,11/24/1991,52,39,9,-0.076923077,0.076923077,0.111111111
12/5/1991,12/8/1991,52,42,6,0,0.071428571,-0.5
12/12/1991,12/15/1991,50,41,9,-0.04,-0.024390244,0.333333333
1/3/1992,1/6/1992,46,47,7,-0.086956522,0.127659574,-0.285714286
1/16/1992,1/19/1992,46,48,6,0,0.020833333,-0.166666667
1/31/1992,2/2/1992,47,48,5,0.021276596,0,-0.2
2/6/1992,2/9/1992,44,48,8,-0.068181818,0,0.375
2/19/1992,2/20/1992,39,47,14,-0.128205128,-0.021276596,0.428571429
2/28/1992,3/1/1992,41,53,6,0.048780488,0.113207547,-1.333333333
