Start Date,End Date,Approving,Disapproving,Unsure/NoData
2/1/2001,2/4/2001,57,25,18
2/9/2001,2/11/2001,57,25,18
2/19/2001,2/21/2001,62,21,17
3/5/2001,3/7/2001,63,22,15
3/9/2001,3/11/2001,58,29,13
3/26/2001,3/28/2001,53,29,18
4/6/2001,4/8/2001,59,30,11
4/20/2001,4/22/2001,62,29,9
5/7/2001,5/9/2001,53,33,14
5/10/2001,5/14/2001,56,31,13
5/18/2001,5/20/2001,56,36,8
6/8/2001,6/10/2001,55,35,10
6/11/2001,6/17/2001,55,33,12
6/28/2001,7/1/2001,52,34,14
7/10/2001,7/11/2001,57,35,8
7/19/2001,7/22/2001,56,33,11
8/3/2001,8/5/2001,55,35,10
8/10/2001,8/12/2001,57,35,8
8/16/2001,8/19/2001,57,34,9
8/24/2001,8/26/2001,55,36,9
9/7/2001,9/10/2001,51,39,10
9/14/2001,9/15/2001,86,10,4
9/21/2001,9/22/2001,90,6,4
10/5/2001,10/6/2001,87,10,3
10/11/2001,10/14/2001,89,8,3
10/19/2001,10/21/2001,88,9,3
11/2/2001,11/4/2001,87,9,4
11/8/2001,11/11/2001,87,9,4
11/26/2001,11/27/2001,87,8,5
12/6/2001,12/9/2001,86,10,4
12/14/2001,12/16/2001,86,11,3
1/7/2002,1/9/2002,84,12,4
1/11/2002,1/14/2002,83,13,4
1/25/2002,1/27/2002,84,13,3
2/4/2002,2/6/2002,82,14,4
2/8/2002,2/10/2002,82,14,4
3/1/2002,3/3/2002,81,14,5
3/4/2002,3/7/2002,77,18,5
3/8/2002,3/9/2002,80,14,6
3/18/2002,3/20/2002,79,16,5
3/22/2002,3/24/2002,79,17,4
4/5/2002,4/7/2002,76,19,5
4/8/2002,4/11/2002,75,20,5
4/22/2002,4/24/2002,77,17,6
4/29/2002,5/1/2002,77,20,3
5/6/2002,5/9/2002,76,19,5
5/20/2002,5/22/2002,76,17,7
5/28/2002,5/29/2002,77,17,6
6/3/2002,6/6/2002,70,23,7
