Start Date,End Date,Approving,Disapproving,Unsure/NoData
2/4/1977,2/7/1977,66,8,26
2/18/1977,2/21/1977,71,9,20
3/4/1977,3/7/1977,70,9,21
3/18/1977,3/21/1977,75,9,16
3/25/1977,3/28/1977,72,10,18
4/1/1977,4/4/1977,67,14,19
4/15/1977,4/18/1977,63,18,19
4/29/1977,5/2/1977,63,18,19
5/6/1977,5/9/1977,66,19,15
5/20/1977,5/23/1977,64,19,17
6/3/1977,6/6/1977,63,19,18
6/17/1977,6/20/1977,63,18,19
7/8/1977,7/11/1977,62,22,16
7/22/1977,7/25/1977,67,17,16
8/5/1977,8/8/1977,60,23,17
8/19/1977,8/22/1977,66,16,18
9/9/1977,9/12/1977,54,29,17
9/30/1977,10/3/1977,59,24,17
10/14/1977,10/17/1977,55,29,16
10/21/1977,10/24/1977,54,30,16
10/28/1977,10/31/1977,51,31,18
11/4/1977,11/7/1977,55,30,15
11/18/1977,11/21/1977,56,30,14
12/9/1977,12/12/1977,57,27,16
1/6/1978,1/9/1978,55,27,18
1/20/1978,1/23/1978,52,28,20
2/11/1978,2/14/1978,47,34,19
2/24/1978,2/27/1978,50,33,17
3/2/1978,3/5/1978,49,33,18
3/10/1978,3/13/1978,50,35,15
3/31/1978,4/3/1978,48,39,13
4/14/1978,4/17/1978,40,44,16
4/28/1978,5/1/1978,41,42,17
5/5/1978,5/8/1978,41,43,16
5/19/1978,5/22/1978,43,43,14
6/2/1978,6/5/1978,44,41,15
6/16/1978,6/19/1978,42,42,16
7/8/1978,7/10/1978,40,41,19
7/21/1978,7/24/1978,39,44,17
8/4/1978,8/7/1978,39,44,17
8/11/1978,8/14/1978,40,43,17
8/18/1978,8/21/1978,43,41,16
9/8/1978,9/11/1978,42,42,16
9/15/1978,9/18/1978,45,40,15
9/22/1978,9/25/1978,48,34,18
10/27/1978,10/30/1978,49,36,15
11/10/1978,11/13/1978,52,36,12
12/1/1978,12/4/1978,50,34,16
12/8/1978,12/11/1978,51,34,15
1/5/1979,1/8/1979,50,36,14
1/19/1979,1/22/1979,43,41,16
2/2/1979,2/5/1979,42,42,16
2/23/1979,2/26/1979,37,46,17
3/2/1979,3/5/1979,39,48,13
3/16/1979,3/19/1979,47,39,14
3/23/1979,3/31/1979,42,44,14
4/6/1979,4/9/1979,40,46,14
5/4/1979,5/7/1979,37,49,14
5/18/1979,5/21/1979,32,53,15
6/1/1979,6/4/1979,29,56,15
6/22/1979,6/25/1979,29,57,14
6/29/1979,7/2/1979,28,59,13
7/13/1979,7/16/1979,29,58,13
8/3/1979,8/6/1979,32,53,15
8/10/1979,8/13/1979,33,55,12
8/17/1979,8/20/1979,32,54,14
9/7/1979,9/10/1979,30,55,15
9/28/1979,10/1/1979,33,54,13
10/5/1979,10/8/1979,29,58,13
10/12/1979,10/15/1979,31,55,14
11/2/1979,11/5/1979,32,55,13
11/16/1979,11/19/1979,38,49,13
11/30/1979,12/3/1979,51,37,12
12/7/1979,12/10/1979,54,35,11
1/5/1980,1/8/1980,56,33,11
1/25/1980,1/28/1980,58,32,10
2/1/1980,2/4/1980,55,36,9
2/29/1980,3/3/1980,52,38,10
3/7/1980,3/10/1980,43,45,12
3/27/1980,3/30/1980,39,51,10
4/11/1980,4/14/1980,39,50,11
5/2/1980,5/5/1980,43,47,10
5/16/1980,5/19/1980,38,51,11
5/30/1980,6/2/1980,38,52,10
6/13/1980,6/16/1980,32,56,12
6/27/1980,6/30/1980,31,58,11
7/11/1980,7/14/1980,33,55,12
8/15/1980,8/18/1980,32,55,13
9/12/1980,9/15/1980,37,55,8
11/21/1980,11/24/1980,31,56,13
12/5/1980,12/8/1980,34,55,11
