Start Date,End Date,Approving,Disapproving,Unsure/NoData
1/24/1993,1/26/1993,58,20,22
1/29/1993,1/31/1993,54,30,16
2/12/1993,2/14/1993,51,34,15
2/26/1993,2/28/1993,59,29,12
3/12/1993,3/14/1993,53,34,13
3/29/1993,3/31/1993,52,37,11
4/22/1993,4/24/1993,55,37,8
5/10/1993,5/12/1993,45,44,11
5/21/1993,5/23/1993,44,46,10
6/5/1993,6/6/1993,37,49,14
6/18/1993,6/21/1993,39,50,11
6/29/1993,6/30/1993,46,47,7
7/9/1993,7/11/1993,45,48,7
7/19/1993,7/21/1993,41,49,10
8/8/1993,8/10/1993,44,48,8
8/23/1993,8/25/1993,44,47,9
9/10/1993,9/12/1993,47,42,11
9/13/1993,9/15/1993,46,43,11
9/24/1993,9/26/1993,56,36,8
10/8/1993,10/10/1993,50,42,8
10/13/1993,10/18/1993,47,44,9
10/28/1993,10/30/1993,48,45,7
11/2/1993,11/4/1993,48,45,7
11/15/1993,11/16/1993,50,43,7
11/19/1993,11/21/1993,48,43,9
12/4/1993,12/6/1993,52,38,10
12/17/1993,12/19/1993,54,40,6
1/6/1994,1/8/1994,54,38,8
1/15/1994,1/17/1994,54,38,8
1/28/1994,1/30/1994,58,35,7
2/26/1994,2/28/1994,53,41,6
3/7/1994,3/8/1994,50,42,8
3/11/1994,3/13/1994,50,41,9
3/25/1994,3/27/1994,52,41,7
3/28/1994,3/30/1994,51,42,7
4/16/1994,4/18/1994,51,41,8
4/22/1994,4/24/1994,48,44,8
5/20/1994,5/22/1994,51,42,7
6/3/1994,6/6/1994,46,47,7
6/11/1994,6/12/1994,49,44,7
6/25/1994,6/28/1994,44,47,9
7/1/1994,7/3/1994,43,48,9
7/15/1994,7/17/1994,42,49,9
8/8/1994,8/9/1994,43,48,9
8/15/1994,8/16/1994,39,52,9
9/6/1994,9/7/1994,39,54,7
9/16/1994,9/18/1994,42,50,8
9/23/1994,9/25/1994,43,51,6
10/7/1994,10/9/1994,42,52,6
10/18/1994,10/19/1994,41,52,7
10/22/1994,10/25/1994,48,46,6
11/2/1994,11/6/1994,46,46,8
11/28/1994,11/29/1994,43,49,8
12/2/1994,12/5/1994,42,50,8
12/16/1994,12/18/1994,42,53,5
12/28/1994,12/30/1994,40,52,8
1/16/1995,1/18/1995,47,45,8
2/3/1995,2/5/1995,49,44,7
2/24/1995,2/26/1995,42,48,10
3/17/1995,3/19/1995,46,45,9
3/27/1995,3/29/1995,44,47,9
4/5/1995,4/6/1995,47,45,8
4/17/1995,4/19/1995,46,45,9
4/21/1995,4/24/1995,51,39,10
5/11/1995,5/14/1995,51,42,7
6/5/1995,6/6/1995,47,42,11
7/7/1995,7/9/1995,48,42,10
7/20/1995,7/23/1995,46,44,10
8/4/1995,8/7/1995,46,42,12
8/11/1995,8/14/1995,46,44,10
8/28/1995,8/30/1995,46,43,11
9/14/1995,9/17/1995,44,44,12
9/22/1995,9/24/1995,48,44,8
10/5/1995,10/7/1995,46,42,12
10/19/1995,10/22/1995,49,40,11
11/6/1995,11/8/1995,52,41,7
11/17/1995,11/18/1995,53,38,9
12/15/1995,12/18/1995,51,44,5
1/5/1996,1/7/1996,42,49,9
1/12/1996,1/15/1996,46,47,7
1/26/1996,1/29/1996,52,42,6
2/23/1996,2/25/1996,53,40,7
3/8/1996,3/10/1996,54,37,9
3/15/1996,3/17/1996,52,39,9
4/9/1996,4/10/1996,54,40,6
4/25/1996,4/28/1996,56,37,7
5/9/1996,5/12/1996,55,39,6
5/28/1996,5/29/1996,53,38,9
6/18/1996,6/19/1996,58,37,5
6/27/1996,6/30/1996,52,42,6
7/18/1996,7/21/1996,57,35,8
7/25/1996,7/28/1996,58,35,7
8/5/1996,8/7/1996,57,36,7
8/16/1996,8/18/1996,52,39,9
8/23/1996,8/25/1996,53,39,8
8/30/1996,9/1/1996,60,33,7
9/7/1996,9/9/1996,60,31,9
10/1/1996,10/2/1996,58,34,8
10/2/1996,10/3/1996,57,36,7
10/26/1996,10/29/1996,54,36,10
11/21/1996,11/24/1996,58,35,7
12/9/1996,12/11/1996,58,34,8
1/3/1997,1/5/1997,58,35,7
1/10/1997,1/13/1997,62,31,7
1/30/1997,2/2/1997,60,31,9
2/24/1997,2/26/1997,57,33,10
3/24/1997,3/26/1997,59,35,6
4/18/1997,4/20/1997,54,37,9
5/6/1997,5/7/1997,57,35,8
5/30/1997,6/1/1997,57,35,8
6/26/1997,6/29/1997,55,36,9
7/25/1997,7/27/1997,58,34,8
8/12/1997,8/13/1997,61,32,7
8/22/1997,8/25/1997,60,34,6
9/6/1997,9/7/1997,61,28,11
9/25/1997,9/28/1997,58,33,9
10/3/1997,10/5/1997,55,36,9
10/27/1997,10/29/1997,59,32,9
11/6/1997,11/9/1997,59,31,10
11/21/1997,11/23/1997,61,30,9
12/18/1997,12/21/1997,56,36,8
1/6/1998,1/7/1998,59,32,9
1/16/1998,1/18/1998,60,30,10
1/23/1998,1/24/1998,58,36,6
1/25/1998,1/26/1998,59,37,4
1/30/1998,2/1/1998,69,28,3
2/13/1998,2/15/1998,66,30,4
2/20/1998,2/22/1998,66,29,5
3/6/1998,3/9/1998,63,31,6
3/20/1998,3/22/1998,66,28,6
4/17/1998,4/19/1998,63,31,6
5/8/1998,5/10/1998,64,31,5
6/5/1998,6/7/1998,60,34,6
6/22/1998,6/23/1998,60,34,6
7/7/1998,7/8/1998,61,34,5
7/13/1998,7/14/1998,63,31,6
8/7/1998,8/8/1998,64,32,4
8/10/1998,8/12/1998,65,30,5
8/21/1998,8/23/1998,62,35,3
9/11/1998,9/12/1998,63,34,3
9/14/1998,9/15/1998,63,35,2
9/23/1998,9/24/1998,66,31,3
10/6/1998,10/7/1998,63,34,3
10/9/1998,10/12/1998,65,32,3
10/23/1998,10/25/1998,65,32,3
10/29/1998,11/1/1998,66,30,4
11/13/1998,11/15/1998,66,31,3
11/20/1998,11/22/1998,66,30,4
12/4/1998,12/6/1998,66,30,4
12/12/1998,12/13/1998,64,34,2
12/15/1998,12/16/1998,63,33,4
12/19/1998,12/20/1998,73,25,2
1/8/1999,1/10/1999,67,30,3
1/15/1999,1/17/1999,69,29,2
1/22/1999,1/24/1999,69,29,2
2/4/1999,2/8/1999,65,33,2
2/12/1999,2/13/1999,68,30,2
2/19/1999,2/21/1999,66,30,4
2/26/1999,2/28/1999,66,31,3
3/5/1999,3/7/1999,68,28,4
3/12/1999,3/14/1999,62,35,3
3/19/1999,3/21/1999,64,33,3
3/30/1999,3/31/1999,64,32,4
4/6/1999,4/7/1999,59,35,6
4/13/1999,4/14/1999,60,36,4
4/26/1999,4/27/1999,60,35,5
4/30/1999,5/2/1999,60,36,4
5/7/1999,5/9/1999,60,35,5
5/23/1999,5/24/1999,53,42,5
6/4/1999,6/5/1999,60,35,5
6/11/1999,6/13/1999,60,37,3
6/25/1999,6/27/1999,57,41,2
7/13/1999,7/14/1999,59,37,4
7/16/1999,7/18/1999,58,38,4
7/22/1999,7/25/1999,64,31,5
8/3/1999,8/4/1999,60,35,5
8/16/1999,8/18/1999,59,36,5
8/24/1999,8/26/1999,60,35,5
9/10/1999,9/14/1999,60,38,2
9/23/1999,9/26/1999,59,38,3
10/8/1999,10/10/1999,56,39,5
10/21/1999,10/24/1999,59,36,5
11/4/1999,11/7/1999,58,38,4
11/18/1999,11/21/1999,59,36,5
12/9/1999,12/12/1999,56,41,3
12/20/1999,12/21/1999,57,36,7
1/7/2000,1/10/2000,63,35,2
1/13/2000,1/16/2000,59,37,4
1/17/2000,1/20/2000,62,35,3
1/25/2000,1/26/2000,64,32,4
2/4/2000,2/6/2000,63,33,4
2/14/2000,2/15/2000,62,34,4
2/25/2000,2/27/2000,57,39,4
3/10/2000,3/12/2000,63,34,3
3/17/2000,3/19/2000,56,39,5
3/30/2000,4/2/2000,62,34,4
4/28/2000,4/30/2000,59,39,2
5/4/2000,5/7/2000,57,36,7
5/18/2000,5/21/2000,57,37,6
6/6/2000,6/7/2000,60,36,4
6/22/2000,6/25/2000,55,40,5
7/6/2000,7/9/2000,59,36,5
7/14/2000,7/16/2000,59,37,4
7/25/2000,7/26/2000,57,39,4
8/4/2000,8/5/2000,57,40,3
8/11/2000,8/12/2000,58,39,3
8/18/2000,8/19/2000,62,35,3
8/29/2000,9/3/2000,62,35,3
9/11/2000,9/13/2000,60,34,6
10/6/2000,10/9/2000,58,37,5
10/25/2000,10/28/2000,57,38,5
11/13/2000,11/15/2000,63,33,4
12/2/2000,12/4/2000,60,35,5
12/15/2000,12/17/2000,66,32,2
1/5/2001,1/7/2001,65,31,4
1/10/2001,1/14/2001,66,29,5
