Start Date,End Date,Approving,Disapproving,Unsure/NoData
2/1/1953,2/5/1953,68,7,25
2/22/1953,2/27/1953,67,8,25
3/28/1953,4/2/1953,74,8,18
4/19/1953,4/24/1953,73,10,17
5/9/1953,5/14/1953,74,10,16
7/4/1953,7/9/1953,69,15,16
7/25/1953,7/30/1953,73,13,14
8/15/1953,8/20/1953,74,14,12
9/12/1953,9/17/1953,61,20,19
10/9/1953,10/14/1953,65,19,16
11/1/1953,11/5/1953,61,26,13
11/19/1953,11/24/1953,59,25,16
12/11/1953,12/16/1953,69,22,9
1/9/1954,1/14/1954,71,19,10
1/28/1954,2/2/1954,70,17,13
2/25/1954,3/2/1954,67,21,12
3/19/1954,3/24/1954,66,22,12
4/8/1954,4/13/1954,68,21,11
5/2/1954,5/7/1954,60,22,18
5/21/1954,5/26/1954,61,24,15
6/12/1954,6/17/1954,62,24,14
7/2/1954,7/7/1954,65,21,14
7/16/1954,7/21/1954,75,20,5
8/5/1954,8/10/1954,67,19,14
8/26/1954,8/31/1954,63,24,13
9/16/1954,9/21/1954,66,21,13
10/15/1954,10/20/1954,61,26,13
11/11/1954,11/16/1954,57,23,20
12/2/1954,12/7/1954,69,23,8
12/31/1954,1/5/1955,70,18,12
1/20/1955,1/25/1955,70,17,13
2/10/1955,2/15/1955,73,15,12
3/3/1955,3/8/1955,71,17,12
3/24/1955,3/29/1955,66,21,13
4/14/1955,4/19/1955,70,14,16
5/12/1955,5/17/1955,68,16,16
6/3/1955,6/8/1955,70,16,14
6/24/1955,6/29/1955,67,15,18
7/14/1955,7/19/1955,72,18,10
8/4/1955,8/9/1955,76,11,13
8/25/1955,8/30/1955,71,16,13
9/15/1955,9/20/1955,71,16,13
11/17/1955,11/22/1955,78,13,9
12/8/1955,12/13/1955,75,13,12
1/6/1956,1/11/1956,76,12,12
1/26/1956,1/31/1956,77,14,9
2/16/1956,2/21/1956,75,15,10
3/8/1956,3/13/1956,72,18,10
3/29/1956,4/3/1956,73,17,10
4/19/1956,4/24/1956,69,19,12
5/10/1956,5/15/1956,69,17,14
5/31/1956,6/5/1956,71,19,10
6/15/1956,6/20/1956,73,18,9
7/12/1956,7/17/1956,70,20,10
8/3/1956,8/8/1956,68,19,13
11/22/1956,11/27/1956,75,15,10
12/14/1956,12/19/1956,79,11,10
1/17/1957,1/22/1957,73,14,13
2/7/1957,2/12/1957,72,16,12
2/28/1957,3/5/1957,72,17,11
3/15/1957,3/20/1957,65,20,15
4/6/1957,4/11/1957,67,21,12
4/25/1957,4/30/1957,64,23,13
5/17/1957,5/22/1957,62,23,15
6/6/1957,6/11/1957,64,22,14
6/27/1957,7/2/1957,63,23,14
7/18/1957,7/23/1957,65,22,13
8/8/1957,8/13/1957,63,20,17
8/29/1957,9/4/1957,59,23,18
9/19/1957,9/24/1957,59,26,15
10/10/1957,10/15/1957,57,27,16
11/7/1957,11/12/1957,58,27,15
1/2/1958,1/7/1958,60,30,10
1/24/1958,1/29/1958,58,27,15
2/14/1958,2/19/1958,54,33,13
3/6/1958,3/11/1958,51,33,16
3/27/1958,4/1/1958,48,36,16
4/16/1958,4/21/1958,54,31,15
5/7/1958,5/12/1958,53,32,15
5/28/1958,6/2/1958,54,31,15
7/10/1958,7/15/1958,52,32,16
7/30/1958,8/4/1958,58,27,15
8/20/1958,8/25/1958,56,27,17
9/10/1958,9/15/1958,57,29,14
9/24/1958,9/29/1958,54,28,18
10/15/1958,10/20/1958,57,27,16
11/7/1958,11/12/1958,52,30,18
12/3/1958,12/8/1958,57,32,11
1/7/1959,1/12/1959,57,27,16
2/4/1959,2/9/1959,59,26,15
3/4/1959,3/9/1959,58,26,16
4/2/1959,4/7/1959,62,23,15
4/29/1959,5/4/1959,60,24,16
5/29/1959,6/3/1959,64,21,15
6/25/1959,6/30/1959,62,23,15
7/23/1959,7/28/1959,61,26,13
8/20/1959,8/25/1959,67,20,13
9/18/1959,9/23/1959,66,20,14
10/16/1959,10/21/1959,67,19,14
11/12/1959,11/17/1959,65,21,14
12/3/1959,12/8/1959,67,18,15
12/10/1959,12/15/1959,77,15,8
1/6/1960,1/11/1960,66,19,15
2/4/1960,2/9/1960,64,22,14
3/2/1960,3/7/1960,64,22,14
3/30/1960,4/4/1960,65,22,13
4/28/1960,5/3/1960,62,22,16
5/26/1960,5/31/1960,65,22,13
6/16/1960,6/21/1960,61,24,15
6/30/1960,7/5/1960,57,27,16
7/16/1960,7/21/1960,49,33,18
7/30/1960,8/4/1960,63,26,11
8/11/1960,8/16/1960,63,24,13
8/25/1960,8/30/1960,61,28,11
9/9/1960,9/14/1960,58,28,14
9/28/1960,10/2/1960,65,26,9
10/18/1960,10/23/1960,58,31,11
11/17/1960,11/22/1960,59,26,15
12/8/1960,12/13/1960,59,28,13
