Start Date,End Date,Approving,Disapproving,Unsure/NoData
8/16/1974,8/19/1974,71,3,26
9/6/1974,9/9/1974,66,13,21
9/27/1974,9/30/1974,50,28,22
10/11/1974,10/14/1974,52,29,19
10/18/1974,10/21/1974,54,28,18
11/8/1974,11/11/1974,47,33,20
11/15/1974,11/18/1974,48,32,20
12/6/1974,12/9/1974,42,41,17
1/10/1975,1/13/1975,37,39,24
1/28/1975,2/3/1975,39,43,18
2/28/1975,3/2/1975,39,45,16
3/7/1975,3/10/1975,38,45,17
3/28/1975,3/31/1975,37,43,20
4/4/1975,4/7/1975,44,37,19
4/18/1975,4/21/1975,39,46,15
5/2/1975,5/5/1975,40,43,17
5/30/1975,6/2/1975,51,33,16
6/27/1975,6/30/1975,52,33,15
8/1/1975,8/4/1975,45,37,18
8/15/1975,8/18/1975,46,37,17
9/12/1975,9/15/1975,45,38,17
10/3/1975,10/6/1975,47,37,16
10/17/1975,10/20/1975,47,40,13
10/31/1975,11/3/1975,44,44,12
11/21/1975,11/24/1975,41,46,13
12/5/1975,12/8/1975,46,37,17
12/12/1975,12/15/1975,39,46,15
1/2/1976,1/5/1976,46,42,12
1/23/1976,1/26/1976,45,45,10
1/30/1976,2/2/1976,46,40,14
2/27/1976,3/1/1976,48,38,14
3/19/1976,3/22/1976,50,36,14
4/9/1976,4/12/1976,48,41,11
5/20/1976,5/23/1976,47,38,15
6/11/1976,6/14/1976,45,40,15
12/10/1976,12/13/1976,53,32,15
