Start Date,End Date,Approving,Disapproving,Unsure/NoData
12/5/1963,12/10/1963,78,2,20
12/12/1963,12/17/1963,74,4,22
1/2/1964,1/7/1964,77,5,18
1/30/1964,2/5/1964,76,8,16
2/13/1964,2/18/1964,73,9,18
2/28/1964,3/4/1964,79,9,12
3/13/1964,3/18/1964,77,9,14
3/27/1964,4/1/1964,75,12,13
4/24/1964,4/29/1964,75,11,14
5/6/1964,5/11/1964,75,10,15
5/22/1964,5/27/1964,74,13,13
6/4/1964,6/9/1964,74,12,14
6/11/1964,6/16/1964,74,14,12
6/25/1964,6/30/1964,74,15,11
11/20/1964,11/25/1964,70,19,11
12/11/1964,12/16/1964,69,18,13
1/7/1965,1/12/1965,71,15,14
1/28/1965,2/2/1965,70,15,15
2/19/1965,2/24/1965,68,18,14
3/11/1965,3/16/1965,68,18,14
3/18/1965,3/23/1965,69,21,10
4/2/1965,4/7/1965,67,22,11
4/23/1965,4/28/1965,64,22,14
5/13/1965,5/18/1965,70,18,12
6/4/1965,6/9/1965,69,19,12
6/24/1965,6/29/1965,65,21,14
7/16/1965,7/21/1965,65,20,15
8/5/1965,8/10/1965,65,22,13
8/27/1965,9/1/1965,64,25,11
9/16/1965,9/21/1965,63,24,13
10/8/1965,10/13/1965,66,21,13
10/29/1965,11/2/1965,65,22,13
11/18/1965,11/23/1965,62,22,16
12/11/1965,12/16/1965,63,26,11
12/31/1965,1/5/1966,59,24,17
1/21/1966,1/26/1966,61,27,12
2/10/1966,2/15/1966,56,34,10
3/3/1966,3/8/1966,58,28,14
3/24/1966,3/29/1966,57,28,15
4/14/1966,4/19/1966,54,33,13
5/5/1966,5/10/1966,46,34,20
5/19/1966,5/24/1966,50,33,17
6/16/1966,6/21/1966,48,39,13
7/8/1966,7/13/1966,56,30,14
7/29/1966,8/3/1966,51,38,11
8/18/1966,8/23/1966,47,39,14
9/8/1966,9/13/1966,46,39,15
10/1/1966,10/6/1966,44,42,14
10/21/1966,10/26/1966,44,41,15
11/10/1966,11/15/1966,49,35,16
12/8/1966,12/13/1966,44,47,9
1/7/1967,1/12/1967,47,37,16
1/26/1967,1/31/1967,46,37,17
2/16/1967,2/21/1967,45,42,13
3/9/1967,3/14/1967,45,41,14
3/30/1967,4/4/1967,46,38,16
4/19/1967,4/24/1967,48,37,15
5/11/1967,5/16/1967,45,39,16
6/2/1967,6/7/1967,44,40,16
6/22/1967,6/27/1967,51,35,14
7/13/1967,7/18/1967,47,39,14
8/3/1967,8/8/1967,40,48,12
8/24/1967,8/29/1967,39,48,13
9/14/1967,9/19/1967,38,48,14
10/6/1967,10/11/1967,38,50,12
10/27/1967,11/1/1967,41,49,10
11/16/1967,11/21/1967,42,46,12
12/7/1967,12/12/1967,46,41,13
1/4/1968,1/9/1968,48,39,13
2/2/1968,2/7/1968,41,47,12
2/22/1968,2/27/1968,41,48,11
3/10/1968,3/15/1968,36,52,12
4/4/1968,4/9/1968,50,38,12
5/2/1968,5/7/1968,46,43,11
5/23/1968,5/23/1968,41,45,14
6/13/1968,6/18/1968,42,45,13
6/26/1968,7/1/1968,40,47,13
7/18/1968,7/23/1968,40,47,13
8/7/1968,8/12/1968,35,52,13
9/19/1968,9/24/1968,42,51,7
11/9/1968,11/14/1968,43,44,13
12/5/1968,12/10/1968,44,43,13
1/1/1969,1/6/1969,49,37,14
