Start Date,End Date,Approving,Disapproving,Unsure/NoData
2/10/1961,2/15/1961,72,6,22
3/10/1961,3/15/1961,73,7,20
4/6/1961,4/11/1961,78,6,16
4/28/1961,5/3/1961,82,5,13
5/4/1961,5/9/1961,77,9,14
5/17/1961,5/22/1961,75,10,15
5/28/1961,6/2/1961,74,11,15
6/23/1961,6/28/1961,72,14,14
7/27/1961,8/2/1961,75,12,13
8/24/1961,8/29/1961,76,12,12
9/21/1961,9/26/1961,79,10,11
10/19/1961,10/24/1961,77,12,11
11/17/1961,11/22/1961,79,9,12
12/7/1961,12/12/1961,77,11,12
1/11/1962,1/16/1962,79,10,11
2/8/1962,2/13/1962,78,11,11
3/8/1962,3/13/1962,79,12,9
4/6/1962,4/11/1962,77,13,10
5/3/1962,5/8/1962,74,16,10
5/31/1962,6/5/1962,71,19,10
6/28/1962,7/3/1962,69,19,12
7/26/1962,7/31/1962,66,23,11
8/23/1962,8/28/1962,67,20,13
9/20/1962,9/25/1962,63,22,15
10/19/1962,10/24/1962,61,25,14
11/16/1962,11/21/1962,74,14,12
12/13/1962,12/18/1962,76,13,11
1/11/1963,1/16/1963,74,14,12
2/7/1963,2/12/1963,70,18,12
3/8/1963,3/12/1963,67,20,13
4/4/1963,4/9/1963,66,21,13
5/2/1963,5/7/1963,64,25,11
5/8/1963,5/13/1963,65,23,12
5/23/1963,5/28/1963,64,24,12
6/21/1963,6/26/1963,61,26,13
7/18/1963,7/23/1963,61,27,12
8/15/1963,8/20/1963,62,26,12
9/12/1963,9/17/1963,56,29,15
10/11/1963,10/16/1963,58,29,13
11/8/1963,11/13/1963,58,30,12
