Start Date,End Date,Approving,Disapproving,Unsure/NoData
1/23/1969,1/28/1969,59,5,36
2/20/1969,2/25/1969,60,6,34
3/12/1969,3/17/1969,65,9,26
3/27/1969,4/1/1969,63,10,27
4/10/1969,4/15/1969,61,12,27
5/1/1969,5/6/1969,62,15,23
5/15/1969,5/20/1969,65,12,23
5/22/1969,5/27/1969,62,15,23
6/19/1969,6/24/1969,63,16,21
7/10/1969,7/15/1969,58,22,20
7/24/1969,7/29/1969,65,17,18
8/14/1969,8/19/1969,62,20,18
9/11/1969,9/16/1969,60,24,16
9/17/1969,9/22/1969,58,23,19
10/2/1969,10/7/1969,57,24,19
10/17/1969,10/22/1969,56,29,15
11/12/1969,11/17/1969,67,19,14
12/12/1969,12/15/1969,59,23,18
1/2/1970,1/5/1970,61,22,17
1/15/1970,1/20/1970,63,23,14
1/30/1970,2/2/1970,64,24,12
2/27/1970,3/2/1970,56,27,17
3/18/1970,3/25/1970,54,34,12
4/16/1970,4/21/1970,56,31,13
4/29/1970,5/3/1970,57,32,11
5/21/1970,5/26/1970,59,29,12
6/18/1970,6/23/1970,55,31,14
7/9/1970,7/14/1970,61,28,11
7/31/1970,8/2/1970,55,32,13
8/25/1970,9/1/1970,55,31,14
9/11/1970,9/14/1970,57,30,13
9/25/1970,9/28/1970,51,31,18
10/9/1970,10/14/1970,58,27,15
11/12/1970,11/17/1970,57,30,13
12/3/1970,12/8/1970,52,34,14
1/8/1971,1/11/1971,56,33,11
2/19/1971,2/22/1971,49,37,14
3/11/1971,3/14/1971,50,37,13
4/2/1971,4/5/1971,49,38,13
4/23/1971,4/26/1971,50,38,12
5/14/1971,5/17/1971,50,35,15
6/4/1971,6/7/1971,48,37,15
6/25/1971,6/28/1971,48,39,13
7/15/1971,7/18/1971,50,37,13
8/27/1971,8/30/1971,49,38,13
10/8/1971,10/11/1971,52,38,10
10/29/1971,11/2/1971,49,37,14
12/10/1971,12/13/1971,50,37,13
1/7/1972,1/10/1972,49,39,12
2/4/1972,2/7/1972,52,37,11
3/3/1972,3/5/1972,56,32,12
3/24/1972,3/27/1972,53,36,11
4/28/1972,5/1/1972,54,37,9
5/26/1972,5/29/1972,62,30,8
6/16/1972,6/19/1972,59,30,11
6/23/1972,6/26/1972,56,33,11
11/11/1972,11/14/1972,62,28,10
12/8/1972,12/11/1972,59,30,11
1/12/1973,1/15/1973,51,37,12
1/26/1973,1/29/1973,67,25,8
2/16/1973,2/19/1973,65,25,10
3/30/1973,4/2/1973,57,34,9
4/6/1973,4/9/1973,54,36,10
4/27/1973,4/29/1973,48,40,12
5/4/1973,5/7/1973,45,42,13
5/11/1973,5/14/1973,44,45,11
6/1/1973,6/4/1973,44,44,12
6/22/1973,6/25/1973,44,45,11
7/6/1973,7/9/1973,39,49,12
8/3/1973,8/6/1973,31,58,11
8/17/1973,8/20/1973,36,54,10
9/7/1973,9/10/1973,34,56,10
9/21/1973,9/24/1973,33,59,8
10/5/1973,10/8/1973,30,57,13
10/19/1973,10/22/1973,27,60,13
11/2/1973,11/5/1973,27,63,10
11/30/1973,12/3/1973,31,59,10
12/7/1973,12/10/1973,29,60,11
1/4/1974,1/7/1974,27,63,10
1/18/1974,1/21/1974,26,64,10
2/1/1974,2/4/1974,28,59,13
2/8/1974,2/11/1974,27,63,10
2/22/1974,2/25/1974,25,64,11
3/8/1974,3/11/1974,26,62,12
3/29/1974,4/1/1974,26,65,9
4/12/1974,4/15/1974,25,62,13
4/19/1974,4/22/1974,26,60,14
5/3/1974,5/6/1974,25,58,17
5/10/1974,5/13/1974,25,61,14
5/17/1974,5/20/1974,26,61,13
5/31/1974,6/3/1974,28,61,11
6/21/1974,6/24/1974,26,61,13
6/28/1974,7/1/1974,28,58,14
7/12/1974,7/15/1974,24,63,13
8/2/1974,8/5/1974,24,66,10
