Start Date,End Date,Approving,Disapproving,Unsure/NoData
1/19/2009,1/25/2009,67,13,20
1/26/2009,2/1/2009,66,18,16
2/2/2009,2/8/2009,65,21,14
2/9/2009,2/15/2009,64,22,14
2/16/2009,2/22/2009,62,25,13
2/23/2009,3/1/2009,64,23,13
3/2/2009,3/8/2009,62,27,11
3/9/2009,3/15/2009,62,28,10
3/16/2009,3/22/2009,63,26,11
3/23/2009,3/29/2009,61,29,10
3/30/2009,4/5/2009,62,28,10
4/6/2009,4/12/2009,61,28,11
4/13/2009,4/19/2009,62,29,9
4/20/2009,4/26/2009,65,29,6
4/27/2009,5/3/2009,65,29,6
5/4/2009,5/10/2009,66,27,7
5/11/2009,5/17/2009,64,29,7
5/18/2009,5/24/2009,64,28,8
5/25/2009,5/31/2009,63,30,7
6/1/2009,6/7/2009,62,31,7
6/8/2009,6/14/2009,61,31,8
6/15/2009,6/21/2009,59,34,7
6/22/2009,6/28/2009,60,33,7
6/29/2009,7/5/2009,60,32,8
7/6/2009,7/12/2009,58,34,8
7/13/2009,7/19/2009,59,33,8
7/20/2009,7/26/2009,56,38,6
7/27/2009,8/2/2009,54,39,7
8/3/2009,8/9/2009,56,37,7
8/10/2009,8/16/2009,54,40,6
8/17/2009,8/23/2009,52,41,7
8/24/2009,8/30/2009,50,43,7
8/31/2009,9/6/2009,53,40,7
9/7/2009,9/13/2009,52,41,7
9/14/2009,9/20/2009,52,41,7
9/21/2009,9/27/2009,51,41,8
9/28/2009,10/4/2009,52,40,8
10/5/2009,10/11/2009,54,38,8
10/12/2009,10/18/2009,52,41,7
10/19/2009,10/25/2009,53,39,8
10/26/2009,11/1/2009,53,41,6
11/2/2009,11/8/2009,52,42,6
11/9/2009,11/15/2009,53,39,8
11/16/2009,11/22/2009,49,44,7
11/23/2009,11/29/2009,50,42,8
11/30/2009,12/6/2009,50,44,6
12/7/2009,12/13/2009,49,42,9
12/14/2009,12/20/2009,50,43,7
12/21/2009,12/27/2009,51,43,6
12/28/2009,1/3/2010,51,43,6
1/4/2010,1/10/2010,51,43,6
1/11/2010,1/17/2010,50,43,7
1/18/2010,1/24/2010,49,46,5
1/25/2010,1/31/2010,48,45,7
2/1/2010,2/7/2010,50,43,7
2/8/2010,2/14/2010,51,42,7
2/15/2010,2/21/2010,49,43,8
2/22/2010,2/28/2010,50,43,7
3/1/2010,3/7/2010,49,44,7
3/8/2010,3/14/2010,48,45,7
3/15/2010,3/21/2010,48,45,7
3/22/2010,3/28/2010,49,44,7
3/29/2010,4/4/2010,49,44,7
4/5/2010,4/11/2010,47,46,7
4/12/2010,4/18/2010,48,45,7
4/19/2010,4/25/2010,50,43,7
4/26/2010,5/2/2010,48,45,7
5/3/2010,5/9/2010,50,43,7
5/10/2010,5/16/2010,49,43,8
5/17/2010,5/23/2010,48,45,7
5/24/2010,5/30/2010,46,46,8
5/31/2010,6/6/2010,47,45,8
