Start Date,End Date,Approving,Disapproving,Unsure/NoData
1/30/1981,2/2/1981,51,13,36
2/13/1981,2/16/1981,55,18,27
3/13/1981,3/16/1981,60,24,16
4/3/1981,4/6/1981,67,18,15
4/10/1981,4/13/1981,67,19,14
5/8/1981,5/11/1981,68,21,11
6/5/1981,6/8/1981,59,28,13
6/19/1981,6/22/1981,59,29,12
6/26/1981,6/29/1981,58,30,12
7/17/1981,7/20/1981,60,29,11
7/24/1981,7/27/1981,56,30,14
7/31/1981,8/3/1981,60,28,12
8/14/1981,8/17/1981,60,29,11
9/18/1981,9/21/1981,52,37,11
10/2/1981,10/5/1981,56,35,9
10/30/1981,11/2/1981,53,35,12
11/13/1981,11/16/1981,49,40,11
11/20/1981,11/23/1981,54,37,9
12/11/1981,12/14/1981,49,41,10
1/8/1982,1/11/1982,49,40,11
1/22/1982,1/25/1982,47,42,11
2/5/1982,2/8/1982,47,43,10
3/12/1982,3/15/1982,46,45,9
4/2/1982,4/5/1982,45,46,9
4/23/1982,4/26/1982,43,47,10
4/30/1982,5/3/1982,44,46,10
5/14/1982,5/17/1982,45,44,11
6/11/1982,6/14/1982,45,45,10
6/25/1982,6/28/1982,44,46,10
7/23/1982,7/26/1982,42,46,12
7/30/1982,8/2/1982,41,47,12
8/13/1982,8/16/1982,41,49,10
8/27/1982,8/30/1982,42,46,12
9/17/1982,9/20/1982,42,48,10
10/15/1982,10/18/1982,42,48,10
11/5/1982,11/8/1982,43,47,10
11/19/1982,11/22/1982,43,47,10
12/10/1982,12/13/1982,41,50,9
1/14/1983,1/17/1983,37,54,9
1/21/1983,1/24/1983,37,53,10
1/28/1983,1/31/1983,35,56,9
2/25/1983,2/28/1983,40,50,10
3/11/1983,3/14/1983,41,49,10
4/15/1983,4/18/1983,41,49,10
4/29/1983,5/2/1983,43,46,11
5/13/1983,5/16/1983,43,45,12
5/20/1983,5/23/1983,46,43,11
6/10/1983,6/13/1983,43,45,12
6/24/1983,6/27/1983,47,44,9
7/22/1983,7/25/1983,42,47,11
7/29/1983,8/1/1983,44,42,14
8/5/1983,8/8/1983,44,46,10
8/12/1983,8/15/1983,43,45,12
8/19/1983,8/22/1983,43,46,11
9/9/1983,9/12/1983,47,42,11
9/16/1983,9/19/1983,47,43,10
10/7/1983,10/10/1983,45,44,11
10/21/1983,10/24/1983,49,41,10
11/18/1983,11/21/1983,53,37,10
12/9/1983,12/12/1983,54,38,8
1/13/1984,1/16/1984,52,38,10
1/27/1984,1/30/1984,55,37,8
2/10/1984,2/13/1984,55,36,9
3/16/1984,3/19/1984,54,39,7
4/6/1984,4/9/1984,54,36,10
5/3/1984,5/5/1984,52,37,11
5/18/1984,5/21/1984,54,38,8
6/6/1984,6/8/1984,55,33,12
6/22/1984,6/25/1984,54,36,10
6/29/1984,7/2/1984,53,37,10
7/6/1984,7/9/1984,54,35,11
7/13/1984,7/16/1984,55,35,10
7/27/1984,7/30/1984,52,37,11
8/10/1984,8/13/1984,54,38,8
9/7/1984,9/10/1984,57,36,7
9/21/1984,9/24/1984,57,36,7
9/28/1984,10/1/1984,54,35,11
10/26/1984,10/29/1984,58,33,9
11/9/1984,11/12/1984,61,31,8
11/30/1984,12/3/1984,62,30,8
12/7/1984,12/10/1984,59,32,9
1/11/1985,1/14/1985,62,29,9
1/25/1985,1/28/1985,64,28,8
2/15/1985,2/18/1985,60,31,9
3/8/1985,3/11/1985,56,37,7
4/12/1985,4/15/1985,52,37,11
5/17/1985,5/20/1985,55,37,8
6/7/1985,6/10/1985,58,32,10
7/12/1985,7/15/1985,63,28,9
8/13/1985,8/15/1985,65,26,9
8/16/1985,8/19/1985,57,32,11
9/13/1985,9/16/1985,60,30,10
10/11/1985,10/14/1985,63,29,8
11/1/1985,11/4/1985,62,28,10
11/11/1985,11/18/1985,65,24,11
12/6/1985,12/9/1985,63,29,8
1/10/1986,1/13/1986,64,27,9
3/4/1986,3/10/1986,63,26,11
4/11/1986,4/14/1986,62,29,9
5/16/1986,5/19/1986,68,23,9
6/6/1986,6/9/1986,61,29,10
6/9/1986,6/16/1986,64,26,10
7/11/1986,7/14/1986,63,28,9
8/8/1986,8/11/1986,61,27,12
9/12/1986,9/15/1986,61,25,14
9/13/1986,9/17/1986,63,26,11
10/24/1986,10/27/1986,63,29,8
12/4/1986,12/5/1986,47,44,9
12/5/1986,12/8/1986,48,43,9
1/16/1987,1/19/1987,48,43,9
3/6/1987,3/9/1987,43,46,11
3/14/1987,3/18/1987,47,44,9
4/10/1987,4/13/1987,48,43,9
6/5/1987,6/8/1987,47,44,9
6/8/1987,6/14/1987,53,40,7
7/10/1987,7/13/1987,49,43,8
8/7/1987,8/10/1987,45,41,14
8/24/1987,9/2/1987,49,42,9
10/23/1987,10/26/1987,51,41,8
12/4/1987,12/7/1987,49,41,10
1/22/1988,1/25/1988,49,40,11
3/4/1988,3/6/1988,50,42,8
3/8/1988,3/12/1988,51,37,12
4/8/1988,4/11/1988,50,39,11
5/2/1988,5/8/1988,50,38,12
5/13/1988,5/22/1988,48,43,9
6/10/1988,6/13/1988,51,39,10
6/24/1988,6/27/1988,48,40,12
7/1/1988,7/7/1988,51,35,14
7/15/1988,7/18/1988,54,36,10
8/19/1988,8/22/1988,53,37,10
9/25/1988,10/1/1988,54,37,9
10/21/1988,10/24/1988,51,38,11
11/11/1988,11/14/1988,57,35,8
12/27/1988,12/29/1988,63,29,8
