Start Date,End Date,Approving,Disapproving,Unsure/NoData,Approve_Change,Disapprove_Change,Unsure_change
6/1/1945,6/5/1945,87,3,10,-0.057471264,2,-0.1
10/5/1945,10/10/1945,82,9,9,-0.085365854,0.555555556,0.222222222
11/2/1945,11/7/1945,75,14,11,-0.16,0.571428571,0.363636364
1/5/1946,1/10/1946,63,22,15,-0.222222222,0.727272727,-0.133333333
2/28/1946,3/5/1946,49,38,13,0.040816327,-0.131578947,0.230769231
3/29/1946,4/3/1946,51,33,16,-0.117647059,0.272727273,-0.1875
6/1/1946,6/6/1946,45,42,13,-0.044444444,0.071428571,-0.076923077
6/14/1946,6/19/1946,43,45,12,-0.23255814,0.155555556,0.25
9/13/1946,9/18/1946,33,52,15,0.03030303,0.019230769,-0.133333333
11/15/1946,11/21/1946,34,53,13,0.029411765,-0.113207547,0.384615385
12/13/1946,12/18/1946,35,47,18,0.371428571,-0.170212766,-0.277777778
1/17/1947,1/22/1947,48,39,13,0.25,-0.41025641,0.307692308
3/14/1947,3/19/1947,60,23,17,0.05,-0.086956522,-0.058823529
3/28/1947,4/2/1947,63,21,16,-0.095238095,0.19047619,0.125
4/25/1947,4/30/1947,57,25,18,0.140350877,-0.04,-0.388888889
5/23/1947,5/28/1947,65,24,11,-0.153846154,0.291666667,0.272727273
6/20/1947,6/25/1947,55,31,14,0.109090909,-0.096774194,-0.214285714
7/4/1947,7/9/1947,61,28,11,-0.098360656,0.035714286,0.454545455
9/12/1947,9/17/1947,55,29,16,-0.018181818,0.137931034,-0.1875
11/28/1947,12/2/1947,54,33,13,-0.018518519,-0.03030303,0.153846154
1/2/1948,1/7/1948,53,32,15,-0.320754717,0.5625,-0.066666667
4/9/1948,4/14/1948,36,50,14,0.083333333,-0.06,0
5/28/1948,6/2/1948,39,47,14,0.025641026,-0.063829787,0.142857143
6/18/1948,6/24/1948,40,44,16,0.725,-0.613636364,-0.125
1/7/1949,1/12/1949,69,17,14,-0.173913043,0.411764706,0.357142857
3/6/1949,3/11/1949,57,24,19,-0.105263158,0.333333333,-0.105263158
5/2/1949,5/8/1949,51,32,17,0.117647059,-0.15625,-0.058823529
6/11/1949,6/17/1949,57,27,16,-0.210526316,0.407407407,0.0625
9/3/1949,9/8/1949,45,38,17,0.133333333,-0.184210526,0.058823529
9/25/1949,9/30/1949,51,31,18,-0.019607843,0.129032258,-0.166666667
9/28/1949,10/2/1949,50,35,15,-0.1,0.142857143,0
1/8/1950,1/13/1950,45,40,15,-0.177777778,0.1,0.266666667
2/26/1950,3/3/1950,37,44,19,0.108108108,-0.136363636,0.105263158
5/4/1950,5/9/1950,41,38,21,-0.097560976,0.236842105,-0.238095238
6/4/1950,6/9/1950,37,47,16,0.243243243,-0.14893617,-0.125
7/9/1950,7/14/1950,46,40,14,-0.152173913,0.125,0.142857143
7/30/1950,8/4/1950,39,45,16,0.102564103,-0.288888889,0.5625
8/20/1950,8/25/1950,43,32,25,-0.186046512,0.46875,-0.28
9/17/1950,9/22/1950,35,47,18,0,0.063829787,-0.166666667
10/1/1950,10/6/1950,35,50,15,0.228571429,-0.28,0.4
10/8/1950,10/13/1950,43,36,21,-0.046511628,0.277777778,-0.380952381
10/20/1950,10/25/1950,41,46,13,-0.048780488,0,0.153846154
10/22/1950,10/27/1950,39,46,15,-0.153846154,0.152173913,-0.066666667
12/3/1950,12/8/1950,33,53,14,0.090909091,-0.075471698,0.071428571
1/1/1951,1/5/1951,36,49,15,-0.277777778,0.224489796,-0.066666667
2/4/1951,2/9/1951,26,60,14,0.038461538,-0.016666667,0
3/4/1951,3/9/1951,27,59,14,0.037037037,-0.033898305,0.071428571
3/26/1951,3/31/1951,28,57,15,-0.142857143,-0.052631579,0.466666667
4/16/1951,4/21/1951,24,54,22,0,0.166666667,-0.409090909
5/19/1951,5/24/1951,24,63,13,0.041666667,-0.063492063,0.230769231
6/16/1951,6/21/1951,25,59,16,0.16,-0.084745763,0.0625
7/8/1951,7/13/1951,29,54,17,0.068965517,0.055555556,-0.294117647
8/3/1951,8/8/1951,31,57,12,0.032258065,-0.052631579,0.166666667
9/21/1951,9/26/1951,32,54,14,-0.09375,0.018518519,0.142857143
10/14/1951,10/19/1951,29,55,16,-0.206896552,0.109090909,0
11/11/1951,11/16/1951,23,61,16,0,0.098360656,-0.375
1/6/1952,1/11/1952,23,67,10,0.086956522,-0.074626866,0.3
1/20/1952,1/25/1952,25,62,13,-0.12,0.032258065,0.076923077
2/9/1952,2/14/1952,22,64,14,0.272727273,-0.078125,-0.071428571
4/13/1952,4/18/1952,28,59,13,-0.035714286,0.016949153,0
5/11/1952,5/16/1952,27,60,13,0.148148148,-0.016666667,-0.230769231
5/30/1952,6/4/1952,31,59,10,0.032258065,-0.016949153,0
6/15/1952,6/20/1952,32,58,10,-0.09375,0.017241379,0.2
7/13/1952,7/18/1952,29,59,12,0.137931034,-0.06779661,0
10/3/1952,10/8/1952,33,55,12,-0.060606061,0.036363636,0
10/5/1952,10/10/1952,31,57,12,0.032258065,-0.035087719,0.083333333
10/9/1952,10/14/1952,32,55,13,0,0.018181818,-0.076923077
12/11/1952,12/16/1952,32,56,12,0,-0.017857143,0.083333333
