Start Date,End Date,Approving,Disapproving,Unsure/NoData,,,
1/4/2021,1/15/2021,34,62,4,0,0,0
12/1/2020,12/17/2020,39,57,4,0.128205128,-0.087719298,0
11/5/2020,11/19/2020,43,55,2,0.093023256,-0.036363636,-1
10/16/2020,10/27/2020,46,52,2,0.065217391,-0.057692308,0
9/30/2020,10/15/2020,43,55,2,-0.069767442,0.054545455,0
9/14/2020,9/28/2020,46,52,2,0.065217391,-0.057692308,0
8/31/2020,9/13/2020,42,56,2,-0.095238095,0.071428571,0
7/30/2020,8/12/2020,42,55,3,0,-0.018181818,0.333333333
7/1/2020,7/23/2020,41,56,3,-0.024390244,0.017857143,0
6/8/2020,6/30/2020,38,57,5,-0.078947368,0.01754386,0.4
5/28/2020,6/4/2020,39,57,4,0.025641026,0,-0.25
5/1/2020,5/13/2020,49,48,3,0.204081633,-0.1875,-0.333333333
4/14/2020,4/28/2020,49,47,4,0,-0.021276596,0.25
4/1/2020,4/14/2020,43,54,3,-0.139534884,0.12962963,-0.333333333
3/13/2020,3/22/2020,49,45,6,0.12244898,-0.2,0.5
3/2/2020,3/13/2020,44,52,4,-0.113636364,0.134615385,-0.5
2/17/2020,2/28/2020,47,51,2,0.063829787,-0.019607843,-1
2/3/2020,2/16/2020,49,48,3,0.040816327,-0.0625,0.333333333
1/16/2020,1/29/2020,49,50,1,0,0.04,-2
1/2/2020,1/15/2020,44,53,3,-0.113636364,0.056603774,0.666666667
12/2/2019,12/15/2019,45,51,4,0.022222222,-0.039215686,0.25
11/1/2019,11/14/2019,43,54,3,-0.046511628,0.055555556,-0.333333333
10/14/2019,10/31/2019,41,57,2,-0.048780488,0.052631579,-0.5
10/1/2019,10/13/2019,39,57,4,-0.051282051,0,0.5
9/16/2019,9/30/2019,40,56,4,0.025,-0.017857143,0
9/3/2019,9/15/2019,43,54,3,0.069767442,-0.037037037,-0.333333333
8/15/2019,8/30/2019,39,57,4,-0.102564103,0.052631579,0.25
8/1/2019,8/14/2019,41,54,5,0.048780488,-0.055555556,0.2
7/15/2019,7/31/2019,42,54,4,0.023809524,0,-0.25
7/1/2019,7/12/2019,44,51,5,0.045454545,-0.058823529,0.2
6/19/2019,6/30/2019,41,54,5,-0.073170732,0.055555556,0
6/3/2019,6/16/2019,43,55,2,0.046511628,0.018181818,-1.5
5/15/2019,5/30/2019,40,55,5,-0.075,0,0.6
5/1/2019,5/12/2019,42,52,6,0.047619048,-0.057692308,0.166666667
4/17/2019,4/30/2019,46,50,4,0.086956522,-0.04,-0.5
4/1/2019,4/9/2019,45,51,4,-0.022222222,0.019607843,0
3/1/2019,3/10/2019,39,57,4,-0.153846154,0.105263158,0
2/12/2019,2/28/2019,43,54,3,0.093023256,-0.055555556,-0.333333333
2/1/2019,2/10/2019,44,52,4,0.022727273,-0.038461538,0.25
1/21/2019,1/27/2019,37,59,4,-0.189189189,0.118644068,0
1/2/2019,1/10/2019,37,59,4,0,0,0
12/17/2018,12/22/2018,39,55,6,0.051282051,-0.072727273,0.333333333
12/10/2018,12/16/2018,38,57,5,-0.026315789,0.035087719,-0.2
12/3/2018,12/9/2018,40,56,4,0.05,-0.017857143,-0.25
11/26/2018,12/2/2018,40,56,4,0,0,0
11/19/2018,11/25/2018,38,60,2,-0.052631579,0.066666667,-1
11/12/2018,11/18/2018,43,53,4,0.11627907,-0.132075472,0.5
11/5/2018,11/11/2018,38,56,6,-0.131578947,0.053571429,0.333333333
10/29/2018,11/4/2018,40,54,6,0.05,-0.037037037,0
10/22/2018,10/28/2018,40,54,6,0,0,0
10/15/2018,10/21/2018,44,50,6,0.090909091,-0.08,0
10/8/2018,10/14/2018,44,51,5,0,0.019607843,-0.2
10/1/2018,10/7/2018,43,53,4,-0.023255814,0.037735849,-0.25
9/24/2018,9/30/2018,42,53,5,-0.023809524,0,0.2
9/17/2018,9/23/2018,40,56,4,-0.05,0.053571429,-0.25
9/10/2018,9/16/2018,38,56,6,-0.052631579,0,0.333333333
9/3/2018,9/9/2018,40,54,6,0.05,-0.037037037,0
8/27/2018,9/2/2018,41,53,6,0.024390244,-0.018867925,0
8/20/2018,8/26/2018,41,54,5,0,0.018518519,-0.2
8/13/2018,8/19/2018,42,52,6,0.023809524,-0.038461538,0.166666667
8/6/2018,8/12/2018,39,56,5,-0.076923077,0.071428571,-0.2
7/30/2018,8/5/2018,41,54,5,0.048780488,-0.037037037,0
7/23/2018,7/29/2018,40,55,5,-0.025,0.018181818,0
7/16/2018,7/22/2018,42,54,4,0.047619048,-0.018518519,-0.25
7/9/2018,7/15/2018,43,52,5,0.023255814,-0.038461538,0.2
7/2/2018,7/8/2018,41,56,3,-0.048780488,0.071428571,-0.666666667
6/25/2018,7/1/2018,42,53,5,0.023809524,-0.056603774,0.4
6/18/2018,6/24/2018,41,55,4,-0.024390244,0.036363636,-0.25
6/11/2018,6/17/2018,45,50,5,0.088888889,-0.1,0.2
6/4/2018,6/10/2018,42,54,4,-0.071428571,0.074074074,-0.25
5/28/2018,6/3/2018,41,55,4,-0.024390244,0.018181818,0
5/21/2018,5/27/2018,40,55,5,-0.025,0,0.2
5/14/2018,5/20/2018,42,54,4,0.047619048,-0.018518519,-0.25
5/7/2018,5/13/2018,43,52,5,0.023255814,-0.038461538,0.2
4/30/2018,5/6/2018,42,52,6,-0.023809524,0,0.166666667
4/23/2018,4/29/2018,42,53,5,0,0.018867925,-0.2
4/16/2018,4/22/2018,39,55,6,-0.076923077,0.036363636,0.166666667
4/9/2018,4/15/2018,39,55,6,0,0,0
4/2/2018,4/8/2018,41,54,5,0.048780488,-0.018518519,-0.2
3/26/2018,4/1/2018,39,56,5,-0.051282051,0.035714286,0
3/19/2018,3/25/2018,39,55,6,0,-0.018181818,0.166666667
3/12/2018,3/18/2018,40,56,4,0.025,0.017857143,-0.5
3/5/2018,3/11/2018,39,56,5,-0.025641026,0,0.2
2/26/2018,3/4/2018,39,55,6,0,-0.018181818,0.166666667
2/19/2018,2/25/2018,39,56,5,0,0.017857143,-0.2
2/12/2018,2/18/2018,37,59,4,-0.054054054,0.050847458,-0.25
2/5/2018,2/11/2018,40,57,3,0.075,-0.035087719,-0.333333333
1/29/2018,2/4/2018,40,57,3,0,0,0
1/21/2018,1/28/2018,38,58,4,-0.052631579,0.017241379,0.25
1/15/2018,1/21/2018,36,59,5,-0.055555556,0.016949153,0.2
1/8/2018,1/14/2018,38,57,5,0.052631579,-0.035087719,0
1/1/2018,1/7/2018,37,58,5,-0.027027027,0.017241379,0
12/25/2017,12/31/2017,39,55,6,0.051282051,-0.054545455,0.166666667
12/18/2017,12/24/2017,37,57,6,-0.054054054,0.035087719,0
12/11/2017,12/17/2017,35,60,5,-0.057142857,0.05,-0.2
12/4/2017,12/10/2017,36,59,5,0.027777778,-0.016949153,0
11/27/2017,12/3/2017,35,59,6,-0.028571429,0,0.166666667
11/20/2017,11/26/2017,37,56,7,0.054054054,-0.053571429,0.142857143
11/13/2017,11/19/2017,38,57,5,0.026315789,0.01754386,-0.4
11/6/2017,11/12/2017,38,56,6,0,-0.017857143,0.166666667
10/30/2017,11/5/2017,38,58,4,0,0.034482759,-0.5
10/23/2017,10/29/2017,35,60,5,-0.085714286,0.033333333,0.2
10/16/2017,10/22/2017,36,58,6,0.027777778,-0.034482759,0.166666667
10/9/2017,10/15/2017,37,57,6,0.027027027,-0.01754386,0
10/2/2017,10/8/2017,38,56,6,0.026315789,-0.017857143,0
9/25/2017,10/1/2017,37,58,5,-0.027027027,0.034482759,-0.2
9/18/2017,9/24/2017,38,55,7,0.026315789,-0.054545455,0.285714286
9/11/2017,9/17/2017,38,57,5,0,0.035087719,-0.4
9/4/2017,9/10/2017,37,57,6,-0.027027027,0,0.166666667
8/28/2017,9/3/2017,36,59,5,-0.027777778,0.033898305,-0.2
8/21/2017,8/27/2017,35,60,5,-0.028571429,0.016666667,0
8/14/2017,8/20/2017,37,58,5,0.054054054,-0.034482759,0
8/7/2017,8/13/2017,36,58,6,-0.027777778,0,0.166666667
7/31/2017,8/6/2017,37,58,5,0.027027027,0,-0.2
7/24/2017,7/30/2017,38,57,5,0.026315789,-0.01754386,0
7/17/2017,7/23/2017,37,58,5,-0.027027027,0.017241379,0
7/10/2017,7/16/2017,39,56,5,0.051282051,-0.035714286,0
7/3/2017,7/9/2017,38,57,5,-0.026315789,0.01754386,0
6/26/2017,7/2/2017,39,56,5,0.025641026,-0.017857143,0
6/19/2017,6/25/2017,39,56,5,0,0,0
6/12/2017,6/18/2017,38,57,5,-0.026315789,0.01754386,0
6/5/2017,6/11/2017,37,58,5,-0.027027027,0.017241379,0
5/29/2017,6/4/2017,38,56,6,0.026315789,-0.035714286,0.166666667
5/22/2017,5/28/2017,41,54,5,0.073170732,-0.037037037,-0.2
5/15/2017,5/21/2017,38,56,6,-0.078947368,0.035714286,0.166666667
5/8/2017,5/14/2017,38,56,6,0,0,0
5/1/2017,5/7/2017,42,53,5,0.095238095,-0.056603774,-0.2
4/24/2017,4/30/2017,41,54,5,-0.024390244,0.018518519,0
4/17/2017,4/23/2017,41,52,7,0,-0.038461538,0.285714286
4/10/2017,4/16/2017,40,54,6,-0.025,0.037037037,-0.166666667
4/3/2017,4/9/2017,40,53,7,0,-0.018867925,0.142857143
3/27/2017,4/2/2017,38,57,5,-0.052631579,0.070175439,-0.4
3/20/2017,3/26/2017,39,56,5,0.025641026,-0.017857143,0
3/13/2017,3/19/2017,40,55,5,0.025,-0.018181818,0
3/6/2017,3/12/2017,42,52,6,0.047619048,-0.057692308,0.166666667
2/27/2017,3/5/2017,43,51,6,0.023255814,-0.019607843,0
2/20/2017,2/26/2017,42,53,5,-0.023809524,0.037735849,-0.2
2/13/2017,2/19/2017,40,54,6,-0.05,0.018518519,0.166666667
2/6/2017,2/12/2017,41,53,6,0.024390244,-0.018867925,0
1/30/2017,2/5/2017,43,52,5,0.046511628,-0.019230769,-0.2
1/20/2017,1/29/2017,45,47,8,0.044444444,-0.106382979,0.375
